,corrected_species_id,entry_id,origin,females,males,goodquality,permanentbisexual,mostlyfdom,strictfdom,fem_male_dominate,perc_won_females,perc_initiated_fem,perc_males_dominatedbyfemales,sexratio,experimental,perc_aggression_fm,perc_aggression_ff,perc_aggression_mm
1,Erythrocebus_patas,1,captive,4,1,y,y,m,c,NA,20,NA,NA,0.2,n,NA,NA,NA
2,Erythrocebus_patas,2,captive,8,1,y,y,m,m,NA,0,0,NA,0.111111111,n,NA,NA,NA
3,Erythrocebus_patas,3,wild,8,1,y,y,f,c,NA,61,61,NA,0.111111111,n,NA,NA,NA
4,Erythrocebus_patas,4,captive,6.5,1,y,y,m,c,yy,NA,NA,21,0.133333333,n,NA,NA,NA
5,Macaca_mulatta,5,captive,11,2,y,y,m,m,ny,NA,NA,0,0.153846154,n,NA,NA,NA
6,Macaca_sylvanus,6,captive,24,25,y,y,m,m,NA,0,0,NA,0.510204082,n,NA,NA,NA
7,Macaca_sylvanus,7,wild,9,11,y,y,m,m,yy,NA,NA,4,0.55,n,NA,NA,NA
8,Macaca_sylvanus,8,wild,10,19,y,y,m,m,yy,NA,NA,4,0.655172414,n,NA,NA,NA
9,Macaca_sylvanus,9,wild,4,2,y,y,m,m,ny,10,10,0,0.333333333,n,46.88995215,50.23923445,2.870813397
10,Macaca_sylvanus,10,captive,6,2,y,y,m,m,ny,NA,NA,0,0.25,n,NA,NA,NA
11,Macaca_sylvanus,11,wild,6,3,y,y,m,m,ny,NA,NA,0,0.333333333,n,NA,NA,NA
12,Macaca_sylvanus,12,wild,6,6,y,y,m,m,ny,NA,NA,0,0.5,n,NA,NA,NA
13,Macaca_sylvanus,13,captive,36,23,n,y,m,m,NA,0,0,NA,0.389830508,y,1.357466063,14.47963801,84.16289593
14,Macaca_thibetana,14,provisioned,8,4,y,y,m,m,yy,6,6,9.4,0.333333333,n,32.2815534,56.06796117,11.65048544
15,Macaca_thibetana,15,wild,10,8,y,y,m,m,yy,6.2,6.2,42.5,0.444444444,n,NA,NA,NA
16,Macaca_tonkeana,16,captive,8,7,y,y,m,c,yy,NA,NA,12.5,0.466666667,n,NA,NA,NA
17,Macaca_tonkeana,17,captive,NA,NA,y,y,m,m,yy,NA,NA,NA,NA,n,NA,NA,NA
18,Mandrillus_sphinx,18,wild,43,8,y,y,m,m,yy,3.89129092,3.89129092,7.848837,0.156862745,n,46.53636102,39.75280253,13.71083645
19,Mandrillus_sphinx,19,captive,24,11,y,y,m,m,ny,NA,NA,0,0.314285714,n,NA,NA,NA
20,Miopithecus_talapoin,20,captive,4,2,y,n,f,c,yy,NA,NA,50,0.333333333,n,NA,NA,NA
21,Miopithecus_talapoin,21,captive,4,2,y,n,f,c,yy,NA,NA,60,0.333333333,n,NA,NA,NA
22,Miopithecus_talapoin,22,captive,5,3,y,n,f,f,yn,NA,NA,100,0.375,n,NA,NA,NA
23,Miopithecus_talapoin,23,captive,5,3,y,n,f,f,yn,NA,NA,100,0.375,n,NA,NA,NA
24,Miopithecus_talapoin,24,captive,5,3,y,n,f,c,yy,NA,NA,50,0.375,n,47.61904762,39.31339978,13.0675526
25,Miopithecus_talapoin,25,captive,4,1,y,n,m,m,ny,NA,NA,0,0.2,n,NA,NA,NA
26,Miopithecus_talapoin,26,captive,4,2,y,n,f,c,yy,NA,NA,62.5,0.333333333,n,NA,NA,NA
27,Miopithecus_talapoin,27,captive,5,4,y,n,f,f,yn,NA,NA,100,0.444444444,n,NA,NA,NA
28,Miopithecus_talapoin,28,captive,4,4,y,n,f,c,yy,NA,NA,50,0.5,n,NA,NA,NA
29,Macaca_nemestrina,29,wild,14,3,y,y,m,c,yy,11.7,11.7,24,0.176470588,n,39.38356164,53.76712329,6.849315068
30,Macaca_arctoides,30,captive,3,2,y,y,m,m,ny,4.8,4.8,0,0.4,n,58.38383838,36.16161616,5.454545455
31,Macaca_assamensis,31,wild,22,19,y,y,m,c,yy,NA,NA,24,0.463414634,n,NA,NA,NA
32,Macaca_assamensis,32,wild,12,11,y,y,m,c,yy,NA,NA,NA,0.47826087,n,NA,NA,NA
33,Macaca_fascicularis,33,captive,11,10,y,y,f,c,yy,NA,NA,71,0.476190476,n,NA,NA,NA
34,Presbytis_thomasi,34,wild,3,1,y,y,m,m,ny,NA,NA,0,0.25,n,NA,NA,NA
35,Presbytis_thomasi,35,wild,3,1,y,y,m,m,ny,NA,NA,0,0.25,n,NA,NA,NA
36,Presbytis_thomasi,36,wild,3,1,y,y,m,m,ny,NA,NA,0,0.25,n,NA,NA,NA
37,Macaca_fascicularis,37,wild,20,7,y,y,m,m,ny,NA,NA,0,0.259259259,n,NA,NA,NA
38,Macaca_fascicularis,38,wild,20,6,y,y,m,m,ny,NA,NA,0,0.230769231,n,NA,NA,NA
39,Macaca_fascicularis,39,captive,4,3,y,y,m,c,yy,NA,NA,25,0.428571429,n,NA,NA,NA
40,Macaca_fascicularis,40,captive,6,2,y,y,m,m,yy,NA,NA,8,0.25,n,NA,NA,NA
41,Macaca_fuscata,41,captive,8,1,y,y,m,m,ny,0.6,0.6,0,0.111111111,n,NA,NA,NA
42,Macaca_fuscata,42,captive,5,6,y,y,f,c,yy,NA,NA,83.3,0.545454545,n,NA,NA,NA
43,Macaca_fuscata,43,provisioned,120,8,y,y,m,m,ny,0,0,0,0.0625,n,54.54545455,36.36363636,9.090909091
44,Macaca_fuscata,44,provisioned,101,21,y,y,m,m,ny,0,0,0,0.172131148,n,26.31578947,68.42105263,5.263157895
45,Macaca_fuscata,45,provisioned,62,17,y,y,m,m,ny,0,0,0,0.215189873,n,50,50,0
46,Macaca_mulatta,46,captive,20,4,y,y,m,m,yy,NA,NA,10,0.166666667,n,NA,NA,NA
47,Macaca_mulatta,47,captive,10,1,y,y,m,c,yy,NA,NA,NA,0.090909091,n,NA,NA,NA
48,Macaca_mulatta,48,captive,17,10,y,y,f,c,yy,NA,NA,62,0.37037037,n,NA,NA,NA
49,Macaca_mulatta,49,captive,15,1,n,y,f,c,yy,NA,NA,80,0.0625,n,NA,NA,NA
50,Macaca_fascicularis,50,captive,15,3,y,y,m,c,yy,NA,NA,22,0.166666667,n,NA,NA,NA
51,Macaca_arctoides,51,captive,25,3,y,y,m,c,yy,NA,NA,40,0.107142857,n,NA,NA,NA
52,Macaca_cyclopis,52,wild,12,7,y,y,NA,c,yy,NA,NA,NA,0.368421053,n,NA,NA,NA
53,Macaca_maura,53,captive,4,2,y,y,m,m,yy,7.7,7.7,25,0.333333333,n,NA,NA,NA
54,Macaca_radiata,54,wild,9,7,y,y,m,c,NA,18,18,NA,0.4375,y,NA,NA,NA
55,Macaca_radiata,55,wild,8,3,y,y,m,c,yy,NA,NA,35,0.272727273,y,NA,NA,NA
56,Macaca_radiata,56,captive,10,1,y,y,m,m,ny,NA,NA,0,0.090909091,y,NA,NA,NA
57,Macaca_silenus,57,captive,9,1,y,y,m,m,ny,NA,NA,0,0.1,n,NA,NA,NA
58,Macaca_sinica,58,wild,4,2,y,y,m,m,ny,2.35,2.35,0,0.333333333,n,42.28855721,43.78109453,13.93034826
59,Nasalis_larvatus,59,wild,9,5,n,y,m,m,NA,NA,NA,NA,0.357142857,n,NA,NA,NA
60,Nasalis_larvatus,60,wild,5,1,y,y,m,m,ny,0,0,NA,0.166666667,n,NA,NA,NA
61,Papio_cynocephalus,61,wild,10,9,y,y,m,m,ny,NA,NA,0,0.473684211,n,NA,NA,NA
62,Papio_cynocephalus,62,wild,19,8,y,y,m,m,ny,9.1,9.1,0,0.296296296,n,26.4,6.4,67.2
63,Papio_anubis,63,wild,28,7,y,y,NA,NA,NA,NA,NA,NA,0.2,n,NA,NA,NA
64,Papio_anubis,64,wild,18.6,3.8,y,y,m,m,NA,3.5,3.5,NA,0.169642857,n,NA,NA,NA
65,Papio_anubis,65,wild,NA,NA,y,y,m,m,ny,NA,NA,0,NA,n,NA,NA,NA
66,Papio_hamadryas,66,captive,38,18,y,y,m,m,ny,0,0,0,0.321428571,n,NA,NA,NA
67,Papio_hamadryas,67,wild,NA,NA,y,y,m,m,NA,0,0,NA,NA,n,NA,NA,NA
68,Papio_hamadryas,68,wild,NA,NA,y,y,m,m,ny,NA,NA,0,NA,n,NA,NA,NA
69,Papio_papio,69,wild,32,14,y,y,m,c,NA,11,11,NA,0.304347826,n,NA,NA,NA
70,Papio_ursinus,70,wild,51,21,y,y,m,m,NA,3.76,3.76,NA,0.291666667,n,NA,NA,NA
71,Papio_papio,71,wild,18,8,y,y,NA,NA,NA,NA,NA,NA,0.307692308,n,NA,NA,NA
72,Papio_papio,72,wild,16,16,y,y,m,c,NA,20,20,NA,0.5,n,NA,NA,NA
73,Papio_ursinus,73,wild,22.5,7.5,y,y,m,m,ny,NA,NA,0,0.25,n,NA,NA,NA
74,Papio_ursinus,74,wild,15.35,6.75,y,y,m,m,ny,2,2,0,0.305429864,n,NA,NA,NA
75,Pygathrix_nemaeus,75,captive,3,1,y,y,m,m,ny,NA,3.85,0,0.25,n,NA,NA,NA
76,Rhinopithecus_bieti,76,captive,6,1,y,y,m,m,ny,NA,8.86,0,0.142857143,n,NA,NA,NA
77,Theropithecus_gelada,77,captive,8.25,1,y,y,m,m,yy,NA,NA,6,0.108108108,n,NA,NA,NA
78,Chlorocebus_pygerythrus,78,wild,4,3,y,y,m,c,yy,NA,0,38,0.428571429,n,NA,NA,NA
79,Chlorocebus_pygerythrus,79,wild,3,2,y,y,m,c,yy,NA,0,17,0.4,n,NA,NA,NA
80,Chlorocebus_pygerythrus,80,wild,16.66666667,12.83333333,y,y,m,c,yy,NA,NA,42,0.435028248,n,NA,NA,NA
81,Chlorocebus_pygerythrus,81,wild,12.83333333,15.83333333,y,y,m,c,yy,NA,NA,45.66666667,0.552325581,n,NA,NA,NA
82,Chlorocebus_pygerythrus,82,wild,10.16666667,7.166666667,y,y,m,c,yy,NA,NA,36.83333333,0.413461538,n,NA,NA,NA
83,Chlorocebus_pygerythrus,83,wild,9.4,4,y,y,m,c,yy,NA,NA,40.8,0.298507463,n,NA,NA,NA
84,Chlorocebus_pygerythrus,84,wild,5,1,y,y,m,m,ny,NA,NA,0,0.166666667,n,NA,NA,NA
85,Chlorocebus_pygerythrus,85,wild,10.28571429,6.285714286,y,y,m,c,yy,NA,NA,37.28571429,0.379310345,n,NA,NA,NA
86,Chlorocebus_pygerythrus,86,wild,6.666666667,4,y,y,m,c,yy,NA,NA,36.33333333,0.375,n,NA,NA,NA
87,Cercopithecus_diana,87,captive,3,1,y,y,m,c,yy,24,NA,0,0.25,n,NA,NA,NA
88,Cercopithecus_campbelli,88,captive,3,1,y,y,m,m,ny,NA,NA,0,0.25,n,NA,NA,NA
89,Cercopithecus_solatus,89,captive,3,1.5,y,y,m,m,yy,NA,NA,0.5,0.333333333,n,NA,NA,NA
90,Cercopithecus_petaurista,90,captive,2,1,y,y,m,m,ny,1.785714286,NA,0,0.333333333,n,NA,NA,NA
91,Trachypithecus_cristatus,91,captive,4,1,y,y,m,m,ny,NA,NA,0,0.2,n,NA,NA,NA
92,Trachypithecus_obscurus,92,captive,4,1,y,y,m,m,ny,NA,NA,0,0.2,n,NA,NA,NA
93,Trachypithecus_obscurus,93,captive,3,1,y,y,m,m,ny,NA,NA,0,0.25,n,NA,NA,NA
94,Cercocebus_torquatus,94,captive,2,1,y,y,m,m,ny,NA,NA,0,0.333333333,n,NA,NA,NA
95,Cercocebus_atys,95,captive,10,3.5,y,y,m,m,ny,NA,NA,0,0.259259259,n,NA,NA,NA
96,Cercocebus_atys,96,captive,5,2,y,y,m,m,ny,NA,NA,0,0.285714286,y,NA,NA,NA
97,Cercocebus_atys,97,captive,5,2,y,y,m,m,ny,NA,NA,0,0.285714286,y,NA,NA,NA
98,Cercocebus_atys,98,captive,2,1,y,y,m,m,yy,NA,NA,0.5,0.333333333,n,NA,NA,NA
99,Lophocebus_ougandae,99,wild,5,4,y,y,m,c,NA,17.5,NA,NA,0.444444444,n,NA,NA,NA
100,Arctocebus_calabarensis,100,captive,NA,NA,n,n,m,m,nn,NA,NA,0,NA,n,NA,NA,NA
101,Callithrix_flaviceps,101,wild,5,4,y,y,m,c,yy,NA,66,20,0.444444444,n,90.90909091,8.787878788,0.303030303
102,Callithrix_jacchus,102,wild,1.75,2.5,y,y,f,c,yy,83.8,89,75,0.588235294,y,62.31884058,23.80952381,13.87163561
103,Callithrix_jacchus,103,wild,4.33,2.33,y,y,m,c,yy,27.5,39.6,45.83,0.34984985,n,47.15447154,51.2195122,1.62601626
104,Callithrix_penicillata,104,wild,3,5,y,y,m,c,yy,38.1,45.2,33.3,0.625,n,77.94117647,14.70588235,7.352941176
105,Tarsius_syrichta,105,captive,NA,NA,n,y,f,f,yn,100,97,100,NA,n,NA,NA,NA
106,Daubentonia_madagascariensis,106,captive,NA,NA,y,n,f,f,yy,100,NA,100,NA,n,NA,NA,NA
107,Eulemur_coronatus,107,captive,1.75,1.5,y,y,f,c,yy,88.1,NA,75,0.461538462,n,NA,NA,NA
108,Eulemur_flavifrons,108,captive,1.38,1.31,y,y,f,f,yn,100,98.2,100,0.486988848,n,NA,NA,NA
109,Eulemur_fulvus,109,captive,2.5,2,y,y,m,c,yy,49,24.1,NA,0.444444444,n,NA,NA,NA
110,Eulemur_macaco,110,captive,2,3,y,y,m,c,yy,45,70.7,NA,0.6,n,NA,NA,NA
111,Eulemur_mongoz,111,wild,1,1,n,y,f,f,yn,100,NA,100,0.5,n,NA,NA,NA
112,Eulemur_rubriventer,112,captive,2,2.5,y,y,f,c,yy,88.2,NA,100,0.555555556,n,NA,NA,NA
113,Eulemur_rufifrons,113,captive,2.5,3.5,y,y,m,c,yy,32,NA,NA,0.583333333,n,45.56765163,30.0155521,24.41679627
114,Galago_senegalensis,114,captive,NA,NA,n,n,m,c,yy,NA,NA,NA,NA,n,NA,NA,NA
115,Hapalemur_alaotrensis,115,wild,1.75,2,y,y,f,c,yy,85.6,NA,NA,0.533333333,n,NA,NA,NA
