	SexualDimorphism_MaleWeight_over_FemaleWeight	SocOrgPMK	CanineDimorphism	MatSysPMK	female_average_relatedness	female_dispersal	male_dispersal	sexbias_dispersal	jointaggression_females	jointaggression_males	Synchrony	r_seasonality_value	monopolization	testes_mass	body_mass	male_skew	cooperative_breeder	env_harshness	rainfall_unpredictability	female_canine_height	male_canine_height	female_evictions	homerange_overlap	female_infanticide	receptive_synchrony	sexualornamentdimorphism_sum	ovulation_signs	sexualreceptivity_hours	Strata_Wilman	StrictlyNocturnal_Wilman	female_mass	male_mass	rainfall_annualvariation	between_groupconflict	NDVI_Seasonality	M_skew_index	fissionfusion
Erythrocebus_patas	1.90789397	G	2.17748562	POL	NA	No	Yes	Male	Yes	No	20	0.85	Yes	7.2	12250	65	No	0.280261139	-0.845935564	12.17	26.5	No	25.5	No	20	2	Present	288	G	0	6421	12250	5989.006934	NA	0.174982332	NA	No
Macaca_mulatta	1.34312636	G	2.087330873	PRO	NA	No	Yes	Male	Yes	Yes	62	NA	No	56.06666667	9505	27	No	0.610160586	0.558291101	8.13	16.97	No	65.5	Yes	73.3	1	Present	216	S	0	7077	9505	18241.38662	Malebiased	0.252209357	1.673904682	No
Macaca_sylvanus	1.12	G	2.020372011	PRO	NA	No	Yes	Male	No	Yes	95	0.92	No	NA	NA	NA	No	1.38443022	0.544242886	11.29	22.81	No	78	Yes	91.75	0	Exaggerated	336	S	0	11109	12442	1572.300282	Malebiased	0.18355839	0.447047898	No
Macaca_thibetana	1.59999419	G	NA	PRO	NA	No	Yes	Male	No	Yes	NA	NA	NA	NA	NA	NA	No	1.020085926	-0.674008477	NA	NA	No	NA	No	100	NA	Present	NA	S	0	10168	16269	7060.075695	NA	0.258236339	NA	No
Macaca_tonkeana	1.65532936	G	1.938679245	PRO	NA	No	Yes	Male	Yes	No	NA	NA	No	NA	NA	NA	No	NA	NA	12.72	24.66	No	NA	Yes	2.3	0	Exaggerated	NA	S	0	11950	19781	NA	NA	NA	NA	No
Mandrillus_sphinx	2.44978435	G	5.263269639	PRO	NA	No	Yes	Male	Yes	No	NA	NA	No	63.43	28062.5	73.3	No	NA	NA	9.42	49.58	No	NA	No	70	8	Exaggerated	NA	S	0	11455	28063	NA	NA	0.178960882	0.935626667	No
Miopithecus_talapoin	1.24110238	G	1.694029851	PRO	NA	NA	NA	NA	Yes	No	100	NA	No	5.2	1275	NA	No	NA	NA	6.7	11.35	NA	NA	NA	100	2	Exaggerated	264	Ar	0	1027	1275	NA	NA	0.252163491	NA	No
Macaca_nemestrina	1.64707337	G	2.360294118	PRO	NA	No	Yes	Male	Yes	No	47	0.25	No	66.7	9980	NA	No	-1.101264373	-0.58829766	12.24	28.89	No	79	No	36.65	0	Exaggerated	312	S	0	6059	9980	17400.89431	NA	0.313696768	0.668478422	No
Macaca_arctoides	1.45208434	G	NA	PRO	NA	No	Yes	Male	Yes	No	NA	NA	NA	48.2	10510	NA	No	-0.68988912	-1.256251862	NA	NA	No	NA	No	73.3	NA	Absent	744	S	0	7238	10510	21867.33856	NA	0.187812186	NA	No
Macaca_assamensis	1.63722052	G	NA	PRO	NA	No	Yes	Male	Yes	No	NA	NA	NA	NA	NA	NA	No	0.636819862	-0.250373793	NA	NA	NA	NA	NA	100	NA	Present	NA	S	0	9100	14899	18342.27049	NA	0.178134004	NA	No
Macaca_fascicularis	1.49331727	G	2.257731959	PRO	0.14	No	Yes	Male	Yes	No	54	0.61	No	35.36666667	4511.75	67	No	NA	NA	10.67	24.09	No	37	No	57.6	1	Exaggerated	360	S	0	3021	4512	NA	NA	0.256380844	NA	No
Presbytis_thomasi	1.01207229	G	NA	POL	NA	Yes	Yes	Both	Yes	No	NA	NA	NA	NA	NA	NA	No	-1.156455258	-0.906722503	NA	NA	NA	25.5	No	NA	NA	NA	NA	Ar	0	6690	6771	11034.51943	Malebiased	0.198379232	NA	No
Macaca_fuscata	1.37025931	G	2.040667362	PRO	NA	No	Yes	Male	Yes	No	97	0.92	No	72.3	15400	33	No	0.649831558	-0.620446354	9.59	19.57	No	56.9	No	98.35	0	Present	264	S	0	11239	15400	9377.196606	Malebiased	0.09681368	0.201821781	No
Macaca_cyclopis	1.21531099	G	NA	PRO	NA	No	Yes	Male	Yes	No	NA	NA	NA	NA	NA	NA	No	-0.002658978	1.155068279	NA	NA	NA	NA	NA	NA	NA	Exaggerated	NA	S	0	6317	7677	24227.3215	NA	0.205980293	NA	No
Macaca_maura	1.60640699	G	NA	PRO	NA	No	Yes	Male	Yes	No	NA	NA	NA	NA	NA	NA	No	-1.501993168	-0.868544738	NA	NA	NA	NA	NA	NA	NA	Exaggerated	NA	S	0	5575	8956	19777.56196	Malebiased	0.136537372	NA	No
Macaca_radiata	1.73152063	G	NA	PRO	NA	No	Yes	Male	Yes	Yes	26	0.86	NA	52.9	8525	NA	No	-0.000617885	0.894847598	NA	NA	No	80.8	Yes	27.9	NA	Absent	120	S	0	4923	8525	13611.4391	Malebiased	0.081405021	0.058780277	No
Macaca_silenus	1.459016393	G	2.436758893	PRO	NA	No	Yes	Male	Yes	No	15	0.33	Yes	42	5900	NA	No	-0.895637843	0.75788167	10.12	24.66	No	42.7	No	15	0	Exaggerated	432	S	0	4044	5900	35037.19626	NA	0.242323894	NA	No
Macaca_sinica	1.77535428	G	1.976907631	PRO	NA	No	Yes	Male	Yes	No	97	0.61	No	NA	NA	43	No	-0.70510332	0.553388936	9.96	19.69	No	NA	No	97	0	Absent	336	S	0	3932	6982	14378.69075	NA	0.163748948	NA	No
Nasalis_larvatus	2.07715673	G	2.203454894	POL	NA	Yes	Yes	Both	Yes	No	NA	NA	No	14.1	11887	NA	No	-1.356413939	-1.206336297	10.42	22.96	NA	93.5	No	NA	2	Present	NA	S	0	5723	11887	11799.98659	NA	0.177889286	NA	Yes
Papio_cynocephalus	2.06	G	2.800657174	PRO	0.08	No	Yes	Male	Yes	Yes	13	0.14	No	52	24320	81	No	NA	NA	9.13	25.57	No	100	Yes	21.3	1	Exaggerated	NA	G	0	11806	24320	NA	Malebiased	0.154378456	NA	No
Papio_anubis	1.852	G	2.221316614	PRO	NA	No	Yes	Male	Yes	Yes	31	0.19	No	83.44666667	26400	NA	No	NA	NA	15.95	35.43	No	80	No	20.3	1	Exaggerated	420	G	0	14255	26400	NA	NA	0.078734773	0.746021741	No
Papio_hamadryas	1.81121882	G	2.743061773	POL	0.19	Yes	No	Female	Yes	No	0.1	NA	No	42.16666667	21180	NA	No	0.874193491	-1.526151104	11.17	30.64	NA	50	No	0.1	5	Exaggerated	120	G	0	11694	21180	1241.653705	NA	0.103838028	NA	Yes
Papio_papio	1.7	G	NA	PRO	NA	NA	NA	NA	Yes	No	NA	NA	NA	88.9	31980	NA	No	-0.221186373	-1.486875164	NA	NA	NA	47.87234	No	NA	NA	Exaggerated	NA	G	0	18812	31980	19299.14549	Malebiased	NA	NA	No
Papio_ursinus	1.97	G	3.839108911	PRO	NA	No	Yes	Male	Yes	No	17	0.42	Yes	69.76	26075	NA	No	NA	NA	12.12	46.53	No	66.575	Yes	14.3	1	Exaggerated	216	G	0	13236	26075	NA	Malebiased	0.170022226	0.169744318	No
Pygathrix_nemaeus	1.30343098	G	1.942622951	PRO	NA	Yes	Yes	Both	Yes	No	NA	NA	No	8.4	18560	NA	No	-0.603490722	-0.376491026	8.54	16.59	NA	NA	No	NA	1	Present	NA	Ar	0	14239	18560	23403.81391	NA	0.255194726	NA	No
Rhinopithecus_bieti	1.50531172	G	NA	POL	NA	No	Yes	Male	Yes	Yes	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	Yes	NA	NA	NA	NA	Slight	NA	Ar	0	NA	NA	4814.77975	NA	0.165332114	NA	No
Theropithecus_gelada	1.62417501	G	3.229013855	POL	NA	No	Yes	Male	Yes	No	1.4	0.09	No	20.76666667	20400	81	No	0.294867131	-0.02882461	12.27	39.62	No	NA	No	1.4	3	Exaggerated	216	G	0	12560	20400	9286.67484	Unbiased	0.163719604	NA	No
Chlorocebus_pygerythrus	1.391198044	G	1.697171381	PRO	NA	NA	NA	NA	NA	NA	NA	NA	No	20.6	5290	NA	NA	NA	NA	12.02	20.4	NA	NA	NA	100	2	Present	NA	S	0	3802	5290	NA	Unbiased	NA	NA	No
