order,outcome,nestingvariable,lemur,contrast lower,contrast upper,difference
3,perc_won,perc_aggression_mm,no,-0.415639365,0.022767338,No
7,strict,perc_aggression_mm,no,-0.016654432,0.92789353,No
15,perc_won,sexualreceptivity_hours,no,-0.29702206,0.98326736,No
19,strict,sexualreceptivity_hours,no,-0.547872075,0.550301295,No
27,perc_won,receptive_synchrony,no,-1.4751361,-0.263115555,Yes
31,strict,receptive_synchrony,no,0.12887288,0.91446127,Yes
39,perc_won,body_mass,no,-1.1189966,1.0203934,No
43,strict,body_mass,no,-0.675768085,0.044646632,No
51,perc_won,relative_testes_mass,no,-1.41445115,-0.153498005,Yes
55,strict,relative_testes_mass,no,-0.659657935,0.041143362,No
63,perc_won,relative_femalecaninesize,no,-1.39660475,-0.638291495,Yes
67,strict,relative_femalecaninesize,no,-0.050255992,0.597902265,No
183,perc_won,female_dispersal,no,-2.19553155,-0.929920585,Yes
187,strict,female_dispersal,no,-1.16862455,-0.207908405,Yes
195,perc_won,male_dispersal,no,-0.338062865,0.920075315,No
199,strict,male_dispersal,no,-0.473089805,0.491518205,No
207,perc_won,sexbias_dispersal,no,-0.26591361,0.562932225,No
211,perc_won,sexbias_dispersal,no,-0.661063925,-0.005114586,Yes
215,perc_won,sexbias_dispersal,no,-1.0093235,-0.205134295,Yes
243,perc_won,jointaggression_females,no,-1.0304633,0.073351201,No
247,strict,jointaggression_females,no,-0.92438887,-0.10728941,Yes
255,perc_won,jointaggression_males,no,-0.27099524,0.82733595,No
259,strict,jointaggression_males,no,-0.97128902,-0.074559552,Yes
267,perc_won,female_evictions,no,-2.6286981,-0.587737015,Yes
271,strict,female_evictions,no,-1.2650628,-0.025519133,Yes
279,perc_won,female_infanticide,no,-0.6286016,0.506730815,No
283,strict,female_infanticide,no,-1.15897975,-0.14518807,Yes
291,perc_won,ovulation_signs,no,-2.26171005,-1.2216314,Yes
295,perc_won,ovulation_signs,no,-0.829648835,-0.189747065,Yes
299,perc_won,ovulation_signs,no,-1.0801254,-0.24089004,Yes
363,perc_won,origin,no,0.20586032,0.499806905,Yes
367,perc_won,origin,no,-0.36198551,0.12208661,No
371,perc_won,origin,no,-0.90998297,-0.239619495,Yes
399,perc_won,fissionfusion,no,-2.16124895,-0.519851895,Yes
403,strict,fissionfusion,no,-1.57926495,-0.630967215,Yes
411,perc_won,between_groupconflict,no,-0.861674535,0.395828205,No
415,perc_won,between_groupconflict,no,-0.81367063,0.153632795,No
419,perc_won,between_groupconflict,no,-1.42857185,-0.2978168,Yes
447,perc_won,sexratio,no,0.159245255,0.407111585,Yes
451,strict,sexratio,no,0.505093555,1.0907815,Yes
459,perc_won,SexualDimorphism_MaleWeight_over_FemaleWeight,no,-0.91419921,-0.18101152,Yes
463,strict,SexualDimorphism_MaleWeight_over_FemaleWeight,no,-0.799503865,-0.228103625,Yes
471,perc_won,CanineDimorphism,no,-1.32505825,-0.448801985,Yes
475,strict,CanineDimorphism,no,-1.7765358,-0.857969175,Yes
483,perc_won,female_average_relatedness,no,-0.39124135,0.203782165,No
487,strict,female_average_relatedness,no,-0.373574035,0.660067005,No
495,perc_won,Synchrony,no,-1.29271815,-0.265030335,Yes
499,strict,Synchrony,no,-0.444239,0.373378495,No
507,perc_won,r_seasonality_value,no,0.011963958,1.12588255,Yes
511,strict,r_seasonality_value,no,-0.071131318,0.920583745,No
519,perc_won,M_skew_index,no,-0.370702305,0.218996535,No
523,strict,M_skew_index,no,-0.72643646,0.16551579,No
531,perc_won,env_harshness,no,-1.05103095,-0.041869068,Yes
535,strict,env_harshness,no,-0.700267025,-0.00452169,Yes
543,perc_won,rainfall_unpredictability,no,-0.182677315,0.910960195,No
547,strict,rainfall_unpredictability,no,-0.51219986,0.237511045,No
555,perc_won,rainfall_annualvariation,no,-1.07745045,0.147525095,No
559,strict,rainfall_annualvariation,no,-0.149680585,0.517391265,No
567,perc_won,NDVI_Seasonality,no,-0.243505765,0.222238685,No
571,strict,NDVI_Seasonality,no,-0.19517507,0.412708345,No
579,perc_won,female_canine_height,no,-0.863684885,-0.172984935,Yes
583,strict,female_canine_height,no,-0.958383255,-0.284451765,Yes
591,perc_won,male_canine_height,no,-0.829816245,-0.06944369,Yes
595,strict,male_canine_height,no,-1.5266584,-0.652797065,Yes
603,perc_won,females,no,-0.989360945,-0.56816565,Yes
607,strict,females,no,-0.73655569,-0.10024628,Yes
615,perc_won,males,no,-0.47035025,-0.16397655,Yes
619,strict,males,no,-0.038760835,0.48337118,No
627,perc_won,homerange_overlap,no,-0.381989205,0.13808548,No
631,strict,homerange_overlap,no,-0.163013845,0.440004795,No
633,perc_won,SocOrgPMK P minus G,no,0.119977312,0.289759822,Yes
635,perc_won,SocOrgPMK P minus G,no,-0.227514842,0.420547904,No
637,strict three way,SocOrgPMK P minus G,no,0.030949289,0.410148278,Yes
639,strict three way,SocOrgPMK P minus G,no,0.018483751,0.385354982,Yes
641,strict female dominance,SocOrgPMK P minus G,no,0.125129624,0.42711187,Yes
643,strict female dominance,SocOrgPMK P minus G,no,-0.186516932,0.28626477,No
645,strict male dominance,SocOrgPMK P minus G,no,-0.303383019,0.022892308,No
647,strict male dominance,SocOrgPMK P minus G,no,-0.391030419,0.001717073,No
649,perc_won,MatSysPMK PAN minus MON,no,-0.157017866,0.014683102,No
651,perc_won,MatSysPMK POL minus MON,no,-0.354110643,-0.182630513,Yes
653,perc_won,MatSysPMK PRO minus MON,no,-0.312341452,-0.146771236,Yes
655,perc_won,MatSysPMK POL minus PAN,no,-0.240672149,-0.148561756,Yes
657,perc_won,MatSysPMK PRO minus PAN,no,-0.194738945,-0.119504636,Yes
659,perc_won,MatSysPMK PRO minus POL,no,0.011229118,0.0674122,Yes
661,perc_won,MatSysPMK PAN minus MON,no,-0.366089507,0.485731701,No
663,perc_won,MatSysPMK POL minus MON,no,-0.525595944,0.11454355,No
665,perc_won,MatSysPMK PRO minus MON,no,-0.386358611,0.256677525,No
667,perc_won,MatSysPMK POL minus PAN,no,-0.591185793,0.064905333,No
669,perc_won,MatSysPMK PRO minus PAN,no,-0.463143002,0.231648128,No
671,perc_won,MatSysPMK PRO minus POL,no,-0.03456052,0.340053827,No
673,strict three way,MatSysPMK PAN minus MON,no,-0.279717653,0.129649745,No
675,strict three way,MatSysPMK POL minus MON,no,-0.466934921,-0.096345942,Yes
677,strict three way,MatSysPMK PRO minus MON,no,-0.342333562,-0.001948476,Yes
679,strict three way,MatSysPMK POL minus PAN,no,-0.388110561,-0.023930461,Yes
681,strict three way,MatSysPMK PRO minus PAN,no,-0.266631947,0.067050666,No
683,strict three way,MatSysPMK PRO minus POL,no,-0.011261796,0.235460995,No
685,strict three way,MatSysPMK PAN minus MON,no,-0.291963918,0.134850541,No
687,strict three way,MatSysPMK POL minus MON,no,-0.460091983,-0.080925461,Yes
689,strict three way,MatSysPMK PRO minus MON,no,-0.318426824,0.046000925,No
691,strict three way,MatSysPMK POL minus PAN,no,-0.376381189,-0.007421848,Yes
693,strict three way,MatSysPMK PRO minus PAN,no,-0.238276642,0.123047479,No
695,strict three way,MatSysPMK PRO minus POL,no,0.000444707,0.273879994,Yes
697,strict female dominance,MatSysPMK PAN minus MON,no,-0.208899489,0.166919568,No
699,strict female dominance,MatSysPMK POL minus MON,no,-0.305965805,0.028405176,No
701,strict female dominance,MatSysPMK PRO minus MON,no,-0.367453875,-0.078971176,Yes
703,strict female dominance,MatSysPMK POL minus PAN,no,-0.282428551,0.042808917,No
705,strict female dominance,MatSysPMK PRO minus PAN,no,-0.343745478,-0.065437106,Yes
707,strict female dominance,MatSysPMK PRO minus POL,no,-0.179707951,0.009307572,No
709,strict female dominance,MatSysPMK PAN minus MON,no,-0.266650436,0.259998818,No
711,strict female dominance,MatSysPMK POL minus MON,no,-0.289198378,0.251743731,No
713,strict female dominance,MatSysPMK PRO minus MON,no,-0.222322998,0.279101579,No
715,strict female dominance,MatSysPMK POL minus PAN,no,-0.268685017,0.225779584,No
717,strict female dominance,MatSysPMK PRO minus PAN,no,-0.193736077,0.273962385,No
719,strict female dominance,MatSysPMK PRO minus POL,no,-0.172771837,0.297699183,No
721,strict male dominance,MatSysPMK PAN minus MON,no,-0.116725016,0.271973404,No
723,strict male dominance,MatSysPMK POL minus MON,no,0.105041659,0.444931447,Yes
725,strict male dominance,MatSysPMK PRO minus MON,no,-0.013062077,0.284771314,No
727,strict male dominance,MatSysPMK POL minus PAN,no,0.003177558,0.379178275,Yes
729,strict male dominance,MatSysPMK PRO minus PAN,no,-0.100974813,0.224376956,No
731,strict male dominance,MatSysPMK PRO minus POL,no,-0.271778061,0.00378828,No
733,strict male dominance,MatSysPMK PAN minus MON,no,-0.153899941,0.294345485,No
735,strict male dominance,MatSysPMK POL minus MON,no,0.102053645,0.483489283,Yes
737,strict male dominance,MatSysPMK PRO minus MON,no,-0.040536337,0.340174312,No
739,strict male dominance,MatSysPMK POL minus PAN,no,0.031889068,0.402025825,Yes
741,strict male dominance,MatSysPMK PRO minus PAN,no,-0.103456813,0.259478213,No
743,strict male dominance,MatSysPMK PRO minus POL,no,-0.281692695,-0.005931789,Yes
745,perc_won,Strata_Wilman G minus Ar,no,-0.226176142,-0.143082783,Yes
747,perc_won,Strata_Wilman S minus Ar,no,-0.207230976,-0.137095349,Yes
749,perc_won,Strata_Wilman S minus G,no,-0.022464199,0.05126043,No
751,perc_won,Strata_Wilman G minus Ar,no,-0.48568504,0.061932427,No
753,perc_won,Strata_Wilman S minus Ar,no,0.016360488,0.61625664,Yes
755,perc_won,Strata_Wilman S minus G,no,0.373019209,0.657527354,Yes
757,strict three way,Strata_Wilman G minus Ar,no,-0.332625158,-0.035651891,Yes
759,strict three way,Strata_Wilman S minus Ar,no,-0.240913111,-0.010037646,Yes
761,strict three way,Strata_Wilman S minus G,no,-0.089181438,0.210654747,No
763,strict three way,Strata_Wilman G minus Ar,no,-0.336293662,-0.03087763,Yes
765,strict three way,Strata_Wilman S minus Ar,no,-0.253950735,-0.003678766,Yes
767,strict three way,Strata_Wilman S minus G,no,-0.10346321,0.21663764,No
769,strict female dominance,Strata_Wilman G minus Ar,no,-0.011981755,0.211438005,No
771,strict female dominance,Strata_Wilman S minus Ar,no,-0.073404155,0.074274148,No
773,strict female dominance,Strata_Wilman S minus G,no,-0.216263989,0.021142352,No
775,strict female dominance,Strata_Wilman G minus Ar,no,-0.313076416,0.144475149,No
777,strict female dominance,Strata_Wilman S minus Ar,no,-0.363787165,0.058620838,No
779,strict female dominance,Strata_Wilman S minus G,no,-0.298486673,0.175348737,No
781,strict male dominance,Strata_Wilman G minus Ar,no,0.038393345,0.33272759,Yes
783,strict male dominance,Strata_Wilman S minus Ar,no,-0.003933893,0.229198623,No
785,strict male dominance,Strata_Wilman S minus G,no,-0.220287829,0.086723815,No
787,strict male dominance,Strata_Wilman G minus Ar,no,0.027997702,0.329712106,Yes
789,strict male dominance,Strata_Wilman S minus Ar,no,-0.008327822,0.230231681,No
791,strict male dominance,Strata_Wilman S minus G,no,-0.236815794,0.092398467,No
4,perc_won,perc_aggression_mm,yes,0.26545419,1.4006713,Yes
8,strict,perc_aggression_mm,yes,-0.048011605,2.36163105,No
16,perc_won,sexualreceptivity_hours,yes,-1.75739935,-0.27908101,Yes
20,strict,sexualreceptivity_hours,yes,-2.13760235,-0.329191345,Yes
28,perc_won,receptive_synchrony,yes,-3.40946055,-0.946655125,Yes
32,strict,receptive_synchrony,yes,-2.34771785,0.395912095,No
40,perc_won,body_mass,yes,-1.9440679,1.0304672,No
44,strict,body_mass,yes,-1.9243688,1.01631315,No
52,perc_won,relative_testes_mass,yes,-0.62923969,0.16946013,No
56,strict,relative_testes_mass,yes,-0.733778125,0.56218924,No
64,perc_won,relative_femalecaninesize,yes,-1.645701,-0.39683687,Yes
68,strict,relative_femalecaninesize,yes,-1.03359775,0.30128605,No
184,perc_won,female_dispersal,yes,-0.299240535,1.90088735,No
188,strict,female_dispersal,yes,-0.030799467,1.19875425,No
196,perc_won,male_dispersal,yes,1.07828225,2.777771,Yes
200,strict,male_dispersal,yes,0.565418405,1.7072245,Yes
208,perc_won,sexbias_dispersal,yes,-0.097949316,1.0456063,No
212,perc_won,sexbias_dispersal,yes,0.319315465,1.1611335,Yes
216,perc_won,sexbias_dispersal,yes,0.12091326,1.06353905,Yes
244,perc_won,jointaggression_females,yes,-0.737969435,0.954391705,No
248,strict,jointaggression_females,yes,0.218396675,1.2787821,Yes
256,perc_won,jointaggression_males,yes,0.269232195,2.8175205,Yes
260,strict,jointaggression_males,yes,0.10924968,1.5517576,Yes
268,perc_won,female_evictions,yes,-0.484457395,1.3990771,No
272,strict,female_evictions,yes,0.35458872,1.54092085,Yes
280,perc_won,female_infanticide,yes,-1.8728332,-0.405700375,Yes
284,strict,female_infanticide,yes,0.190343355,1.4675951,Yes
292,perc_won,ovulation_signs,yes,-0.699048095,0.12682886,No
296,perc_won,ovulation_signs,yes,0.20992406,1.02819985,Yes
300,perc_won,ovulation_signs,yes,0.130392905,1.28621985,Yes
364,perc_won,origin,yes,0.741394345,1.18982025,Yes
368,perc_won,origin,yes,0.28322569,0.952140775,Yes
372,perc_won,origin,yes,0.412655045,1.37015995,Yes
412,perc_won,between_groupconflict,yes,-0.41171972,0.8162656,No
416,perc_won,between_groupconflict,yes,0.151631165,1.283056,Yes
420,perc_won,between_groupconflict,yes,-0.146142,1.13310755,No
448,perc_won,sexratio,yes,1.2240793,1.86629755,Yes
452,strict,sexratio,yes,-0.580015405,0.928737045,No
460,perc_won,SexualDimorphism_MaleWeight_over_FemaleWeight,yes,-2.5518544,-1.0460193,Yes
464,strict,SexualDimorphism_MaleWeight_over_FemaleWeight,yes,-2.15622295,-0.2169007,Yes
472,perc_won,CanineDimorphism,yes,-1.60335825,1.0669961,No
476,strict,CanineDimorphism,yes,-1.8982118,0.237783715,No
484,perc_won,female_average_relatedness,yes,-2.8553909,-0.199090255,Yes
488,strict,female_average_relatedness,yes,-1.5329973,0.986840605,No
496,perc_won,Synchrony,yes,-2.4292133,0.29175173,No
500,strict,Synchrony,yes,-2.3167843,0.38080616,No
508,perc_won,r_seasonality_value,yes,-0.50053392,2.072025,No
512,strict,r_seasonality_value,yes,-0.22012281,2.37005745,No
520,perc_won,M_skew_index,yes,-1.70157625,1.34502205,No
524,strict,M_skew_index,yes,-2.06436315,1.07240845,No
532,perc_won,env_harshness,yes,-2.3869518,0.043975211,No
536,strict,env_harshness,yes,-1.48939145,0.69800858,No
544,perc_won,rainfall_unpredictability,yes,-1.42326265,0.161037185,No
548,strict,rainfall_unpredictability,yes,-1.55204735,0.024489543,No
556,perc_won,rainfall_annualvariation,yes,-1.2696899,0.626535525,No
560,strict,rainfall_annualvariation,yes,-1.08638495,0.54172189,No
568,perc_won,NDVI_Seasonality,yes,-3.145055,-1.04883915,Yes
572,strict,NDVI_Seasonality,yes,-2.4714676,0.08739411,No
580,perc_won,female_canine_height,yes,-1.2911228,-0.3414762,Yes
584,strict,female_canine_height,yes,-0.62139413,0.65073541,No
592,perc_won,male_canine_height,yes,-2.42195885,-0.440027345,Yes
596,strict,male_canine_height,yes,-1.58336015,0.64376125,No
604,perc_won,females,yes,-1.26920195,-0.45465926,Yes
608,strict,females,yes,-1.21365495,0.43353726,No
616,perc_won,males,yes,0.120514815,0.62610655,Yes
620,strict,males,yes,-0.945529825,0.43997537,No
628,perc_won,homerange_overlap,yes,-0.83898272,0.57029867,No
632,strict,homerange_overlap,yes,-1.3736211,0.166210245,No
634,perc_won,SocOrgPMK P minus G,yes,0.006729595,0.093102289,Yes
636,perc_won,SocOrgPMK S minus G,yes,-0.143061913,-0.073156006,Yes
638,perc_won,SocOrgPMK S minus P,yes,-0.206231137,-0.106563969,Yes
640,perc_won,SocOrgPMK P minus G,yes,0.175462789,0.42452294,Yes
642,perc_won,SocOrgPMK S minus G,yes,0.152137194,0.654371263,Yes
644,perc_won,SocOrgPMK S minus P,yes,-0.138953031,0.362633699,No
646,strict three way,SocOrgPMK P minus G,yes,-0.21923583,0.151680087,No
648,strict three way,SocOrgPMK S minus G,yes,-0.328975005,0.042525034,No
650,strict three way,SocOrgPMK S minus P,yes,-0.307291749,0.096192607,No
652,strict three way,SocOrgPMK P minus G,yes,-0.235092475,0.188497281,No
654,strict three way,SocOrgPMK S minus G,yes,-0.294343552,0.133279331,No
656,strict three way,SocOrgPMK S minus P,yes,-0.274620328,0.162007316,No
658,strict female dominance,SocOrgPMK P minus G,yes,-0.232696521,0.136105223,No
660,strict female dominance,SocOrgPMK S minus G,yes,-0.332882878,0.028014726,No
662,strict female dominance,SocOrgPMK S minus P,yes,-0.302721126,0.101383073,No
664,strict female dominance,SocOrgPMK P minus G,yes,-0.218288632,0.151490217,No
