"","predictorvariable","sample size categorical classification","number of species categorical classification","sample size percentage fights won","number of species percentage fights won"
"1","sexratio",125,60,56,36
"2","SexualDimorphism_MaleWeight_over_FemaleWeight",141,66,58,36
"3","CanineDimorphism",108,45,49,29
"4","female_average_relatedness",26,9,16,8
"5","Synchrony",78,27,36,20
"6","r_seasonality_value",57,22,31,18
"7","M_skew_index",48,16,29,14
"8","env_harshness",85,42,46,26
"9","rainfall_unpredictability",85,42,46,26
"10","rainfall_annualvariation",82,42,44,25
"11","NDVI_Seasonality",103,42,49,28
"12","female_canine_height",106,44,47,28
"13","male_canine_height",106,44,47,28
"14","females",125,60,56,36
"15","males",125,60,56,36
"16","homerange_overlap",88,40,48,28
"17","perc_aggression_mm",32,24,29,21
"18","sexualreceptivity_hours",72,25,36,19
"19","receptive_synchrony",100,36,43,24
"20","body_mass",99,39,42,24
"21","relative_testes_mass",99,39,42,24
"22","relative_femalecaninesize",106,44,47,28
"23","SocOrgPMK",141,66,58,36
"24","MatSysPMK",137,65,58,36
"25","female_dispersal",93,45,46,29
"26","male_dispersal",93,45,46,29
"27","sexbias_dispersal",93,45,46,29
"28","jointaggression_females",123,59,55,34
"29","jointaggression_males",123,59,55,34
"30","female_evictions",72,25,35,18
"31","female_infanticide",97,43,49,28
"32","ovulation_signs",117,51,51,31
"33","Strata_Wilman",138,64,57,35
"34","origin",141,66,58,36
"35","fissionfusion",141,66,58,36
"36","between_groupconflict",59,20,33,17
