"","predictorvariable","sample size categorical classification","number of species categorical classification","sample size percentage fights won","number of species percentage fights won"
"1","sexratio",50,31,49,30
"2","SexualDimorphism_MaleWeight_over_FemaleWeight",54,34,53,33
"3","CanineDimorphism",28,15,28,15
"4","female_average_relatedness",12,4,12,4
"5","Synchrony",12,7,12,7
"6","r_seasonality_value",5,3,5,3
"7","M_skew_index",8,2,8,2
"8","env_harshness",25,15,25,15
"9","rainfall_unpredictability",25,15,25,15
"10","rainfall_annualvariation",26,16,26,16
"11","NDVI_Seasonality",15,7,15,7
"12","female_canine_height",24,11,24,11
"13","male_canine_height",24,11,24,11
"14","females",50,31,49,30
"15","males",50,31,49,30
"16","homerange_overlap",27,12,27,12
"17","perc_aggression_mm",8,6,8,6
"18","sexualreceptivity_hours",14,4,14,4
"19","receptive_synchrony",21,10,21,10
"20","body_mass",20,10,20,10
"21","relative_testes_mass",20,10,20,10
"22","relative_femalecaninesize",24,11,24,11
"23","SocOrgPMK",54,34,53,33
"24","MatSysPMK",47,29,46,28
"25","female_dispersal",23,10,23,10
"26","male_dispersal",23,10,23,10
"27","sexbias_dispersal",23,10,23,10
"28","jointaggression_females",39,22,39,22
"29","jointaggression_males",39,22,39,22
"30","female_evictions",11,5,11,5
"31","female_infanticide",22,10,22,10
"32","ovulation_signs",33,17,33,17
"33","Strata_Wilman",54,34,53,33
"34","origin",54,34,53,33
"35","fissionfusion",54,34,53,33
"36","between_groupconflict",15,6,15,6
