"","predictorvariable","sample size categorical classification","number of species categorical classification","sample size percentage fights won","number of species percentage fights won"
"1","sexratio",201,105,121,74
"2","SexualDimorphism_MaleWeight_over_FemaleWeight",226,117,128,77
"3","CanineDimorphism",145,64,82,46
"4","female_average_relatedness",47,16,36,15
"5","Synchrony",97,38,50,28
"6","r_seasonality_value",68,28,38,22
"7","M_skew_index",56,18,37,16
"8","env_harshness",129,66,80,45
"9","rainfall_unpredictability",129,66,80,45
"10","rainfall_annualvariation",127,67,79,45
"11","NDVI_Seasonality",140,58,78,41
"12","female_canine_height",135,57,74,39
"13","male_canine_height",135,57,74,39
"14","females",201,105,121,74
"15","males",201,105,121,74
"16","homerange_overlap",138,62,89,46
"17","perc_aggression_mm",53,38,49,34
"18","sexualreceptivity_hours",91,31,53,25
"19","receptive_synchrony",128,50,66,35
"20","body_mass",126,51,66,35
"21","relative_testes_mass",126,51,66,35
"22","relative_femalecaninesize",135,57,74,39
"23","SocOrgPMK",226,117,128,77
"24","MatSysPMK",215,111,121,72
"25","female_dispersal",139,65,83,45
"26","male_dispersal",141,66,85,46
"27","sexbias_dispersal",139,65,83,45
"28","jointaggression_females",190,95,110,63
"29","jointaggression_males",190,95,110,63
"30","female_evictions",88,31,50,24
"31","female_infanticide",139,61,83,43
"32","ovulation_signs",164,75,94,53
"33","Strata_Wilman",222,114,127,76
"34","origin",226,117,128,77
"35","between_groupconflict",81,28,52,24
