"","predictorvariable","sample size categorical classification","number of species categorical classification","sample size percentage fights won","number of species percentage fights won"
"1","sexratio",76,45,65,38
"2","SexualDimorphism_MaleWeight_over_FemaleWeight",85,51,70,41
"3","CanineDimorphism",37,19,33,17
"4","female_average_relatedness",21,7,20,7
"5","Synchrony",19,11,14,8
"6","r_seasonality_value",11,6,7,4
"7","M_skew_index",8,2,8,2
"8","env_harshness",44,24,34,19
"9","rainfall_unpredictability",44,24,34,19
"10","rainfall_annualvariation",45,25,35,20
"11","NDVI_Seasonality",37,16,29,13
"12","female_canine_height",29,13,27,11
"13","male_canine_height",29,13,27,11
"14","females",76,45,65,38
"15","males",76,45,65,38
"16","homerange_overlap",50,22,41,18
"17","perc_aggression_mm",21,14,20,13
"18","sexualreceptivity_hours",19,6,17,6
"19","receptive_synchrony",28,14,23,11
"20","body_mass",27,12,24,11
"21","relative_testes_mass",27,12,24,11
"22","relative_femalecaninesize",29,13,27,11
"23","SocOrgPMK",85,51,70,41
"24","MatSysPMK",78,46,63,36
"25","female_dispersal",46,20,37,16
"26","male_dispersal",48,21,39,17
"27","sexbias_dispersal",46,20,37,16
"28","jointaggression_females",67,36,55,29
"29","jointaggression_males",67,36,55,29
"30","female_evictions",16,6,15,6
"31","female_infanticide",42,18,34,15
"32","ovulation_signs",47,24,43,22
"33","Strata_Wilman",84,50,70,41
"34","origin",85,51,70,41
"35","fissionfusion",85,51,70,41
"36","between_groupconflict",22,8,19,7
