"","predictorvariable","sample size categorical classification","number of species categorical classification","sample size percentage fights won","number of species percentage fights won"
"1","sexratio",151,74,72,44
"2","SexualDimorphism_MaleWeight_over_FemaleWeight",172,83,75,44
"3","CanineDimorphism",117,49,54,31
"4","female_average_relatedness",35,12,24,11
"5","Synchrony",85,31,38,21
"6","r_seasonality_value",63,25,33,19
"7","M_skew_index",48,16,29,14
"8","env_harshness",104,51,55,30
"9","rainfall_unpredictability",104,51,55,30
"10","rainfall_annualvariation",101,51,53,29
"11","NDVI_Seasonality",125,51,63,34
"12","female_canine_height",111,46,50,28
"13","male_canine_height",111,46,50,28
"14","females",151,74,72,44
"15","males",151,74,72,44
"16","homerange_overlap",111,50,62,34
"17","perc_aggression_mm",45,32,41,28
"18","sexualreceptivity_hours",77,27,39,21
"19","receptive_synchrony",107,40,45,25
"20","body_mass",106,41,46,25
"21","relative_testes_mass",106,41,46,25
"22","relative_femalecaninesize",111,46,50,28
"23","SocOrgPMK",172,83,75,44
"24","MatSysPMK",168,82,75,44
"25","female_dispersal",116,55,60,35
"26","male_dispersal",118,56,62,36
"27","sexbias_dispersal",116,55,60,35
"28","jointaggression_females",151,73,71,41
"29","jointaggression_males",151,73,71,41
"30","female_evictions",77,26,39,19
"31","female_infanticide",117,51,61,33
"32","ovulation_signs",131,58,61,36
"33","Strata_Wilman",168,80,74,43
"34","origin",172,83,75,44
"35","fissionfusion",172,83,75,44
"36","between_groupconflict",66,22,37,18
