"","outcome","continuouspredictor","phylogeny","estimate lower","estimate upper","association_present"
"1","perc_won","female_infanticide Yes minus No","No",-0.173844789512408,-0.0675119341508391,"confident"
"2","perc_won","female_infanticide Yes minus No","Yes",0.176918812135199,0.536000979104099,"confident"
"3","strict three way","female_infanticide Yes minus No","No",-0.204646543285707,0.239045014012808,"not"
"4","strict three way","female_infanticide Yes minus No","Yes",-0.20823106020545,0.239449707535667,"not"
"5","strict female dominance","female_infanticide Yes minus No","No",-0.220647793732942,0.197008336484334,"not"
"6","strict female dominance","female_infanticide Yes minus No","Yes",-0.215431768687183,0.234559658325928,"not"
"7","strict male dominance","female_infanticide Yes minus No","No",-0.0832601880071654,0.30050461331391,"not"
"8","strict male dominance","female_infanticide Yes minus No","Yes",-0.204991664797639,0.280804301571039,"not"
"9","perc_won","ovulation_signs Present minus Absent","No",-0.0890930243956455,-0.00977182169275924,"confident"
"10","perc_won","ovulation_signs Present minus Absent","Yes",-0.511627800746702,-0.141803193966547,"confident"
"11","strict three way","ovulation_signs Present minus Absent","No",-0.207059689802204,0.206091231969318,"not"
"12","strict three way","ovulation_signs Present minus Absent","Yes",-0.212029320042122,0.188666231037133,"not"
"13","strict female dominance","ovulation_signs Present minus Absent","No",-0.195033829852555,0.171583561731429,"not"
"14","strict female dominance","ovulation_signs Present minus Absent","Yes",-0.203833837072762,0.187270568060279,"not"
"15","strict male dominance","ovulation_signs Present minus Absent","No",-0.150003045990698,0.164456505619213,"not"
"16","strict male dominance","ovulation_signs Present minus Absent","Yes",-0.257268800730728,0.264275705468638,"not"
"17","perc_won","origin wild minus captive","No",0.0594475911569663,0.134367118336177,"confident"
"18","perc_won","origin wild minus captive","Yes",-0.00361782234494728,0.169291135924895,"not"
"19","strict three way","origin wild minus captive","No",-0.101507628274145,0.253156023536124,"not"
"20","strict three way","origin wild minus captive","Yes",-0.120793858908911,0.23520277776057,"not"
"21","strict female dominance","origin wild minus captive","No",-0.087427790025101,0.252154577827789,"not"
"22","strict female dominance","origin wild minus captive","Yes",-0.104777370335755,0.249530110292428,"not"
"23","strict male dominance","origin wild minus captive","No",-0.182106177357397,0.0861530261475316,"not"
"24","strict male dominance","origin wild minus captive","Yes",-0.272625877449321,0.223702347118746,"not"
"25","perc_won","between_groupconflict Malebiased minus Femalebiased","No",-0.247838052415633,-0.0868896084392396,"confident"
"26","perc_won","between_groupconflict Unbiased minus Femalebiased","No",-0.377448110432583,-0.183632066116478,"confident"
"27","perc_won","between_groupconflict Unbiased minus Malebiased","No",-0.193358660955463,-0.0453588644098282,"confident"
"28","perc_won","between_groupconflict Malebiased minus Femalebiased","Yes",-0.59527135536556,0.0744850701745612,"not"
"29","perc_won","between_groupconflict Unbiased minus Femalebiased","Yes",-0.312872205271323,0.356224891925237,"not"
"30","perc_won","between_groupconflict Unbiased minus Malebiased","Yes",-0.0446713953482398,0.567437322143252,"not"
"31","strict three way","between_groupconflict Malebiased minus Femalebiased","No",-0.280613204139483,0.182966852634464,"not"
"32","strict three way","between_groupconflict Unbiased minus Femalebiased","No",-0.291207037978742,0.202905044756357,"not"
"33","strict three way","between_groupconflict Unbiased minus Malebiased","No",-0.239431365680853,0.236270427523244,"not"
"34","strict three way","between_groupconflict Malebiased minus Femalebiased","Yes",-0.285580924382728,0.184656249736164,"not"
"35","strict three way","between_groupconflict Unbiased minus Femalebiased","Yes",-0.293262850410742,0.211879397874562,"not"
"36","strict three way","between_groupconflict Unbiased minus Malebiased","Yes",-0.238337965339038,0.252035036209451,"not"
"37","strict female dominance","between_groupconflict Malebiased minus Femalebiased","No",-0.262953765263289,0.193688448601196,"not"
"38","strict female dominance","between_groupconflict Unbiased minus Femalebiased","No",-0.293626304249308,0.184142755797234,"not"
"39","strict female dominance","between_groupconflict Unbiased minus Malebiased","No",-0.262693668405531,0.205734103711213,"not"
"40","strict female dominance","between_groupconflict Malebiased minus Femalebiased","Yes",-0.278107717959676,0.198457076589333,"not"
"41","strict female dominance","between_groupconflict Unbiased minus Femalebiased","Yes",-0.292026418071182,0.192336973723458,"not"
"42","strict female dominance","between_groupconflict Unbiased minus Malebiased","Yes",-0.245388190270486,0.243092827384743,"not"
"43","strict male dominance","between_groupconflict Malebiased minus Femalebiased","No",-0.225364006534733,0.229619916120246,"not"
"44","strict male dominance","between_groupconflict Unbiased minus Femalebiased","No",-0.174528542790184,0.278624799395707,"not"
"45","strict male dominance","between_groupconflict Unbiased minus Malebiased","No",-0.178376319211903,0.27774464319938,"not"
"46","strict male dominance","between_groupconflict Malebiased minus Femalebiased","Yes",-0.265826006415742,0.261836926912068,"not"
"47","strict male dominance","between_groupconflict Unbiased minus Femalebiased","Yes",-0.237794774815319,0.269051413137857,"not"
"48","strict male dominance","between_groupconflict Unbiased minus Malebiased","Yes",-0.248097163892064,0.276840994962944,"not"
