"","continuouspredictor","perc_won","strict three way","strict female dominance","strict male dominance"
"1","SexualDimorphism_MaleWeight_over_FemaleWeight","confident","confident","confident","confident"
"2","CanineDimorphism","confident","confident","confident","confident"
"3","homerange_overlap","not","confident","confident","confident"
"4","females","confident","confident","confident","confident"
"5","env_harshness","not","confident","confident","confident"
"6","rainfall_annualvariation","not","confident","not","confident"
"7","rainfall_unpredictability","confident","confident","confident","confident"
"8","relative_femalecaninesize","confident","confident","confident","confident"
"9","SocOrgPMK P minus G","confident","confident","confident","confident"
"10","SocOrgPMK S minus G","confident","confident","confident","confident"
"11","SocOrgPMK S minus P","not","not","not","not"
"12","fissionfusion Yes minus No","confident","confident","confident","confident"
"13","female_evictions Yes minus No","confident","confident","confident","confident"
"14","origin wild minus captive","confident","not","not","not"
"15","female_infanticide Yes minus No","not","not","not","not"
"16","jointaggression_females Yes minus No","confident","confident","not","confident"
