"","outcome","continuouspredictor","phylogeny","estimate_lower","estimate_upper","association_present"
"4","strict three way","SexualDimorphism_MaleWeight_over_FemaleWeight","Yes",-1.593,-1.049,"confident"
"12","strict three way","CanineDimorphism","Yes",-2.278,-1.485,"confident"
"20","strict three way","homerange_overlap","Yes",-0.898,-0.317,"confident"
"28","strict three way","females","Yes",-1.119,-0.578,"confident"
"36","strict three way","env_harshness","Yes",-0.943,-0.246,"confident"
"44","strict three way","rainfall_annualvariation","Yes",0.006,0.665,"confident"
"52","strict three way","rainfall_unpredictability","Yes",-1.008,-0.342,"confident"
"60","strict three way","relative_femalecaninesize","Yes",-0.919,-0.208,"confident"
"146","strict three way","SocOrgPMK P minus G","Yes",0.236,0.53,"confident"
"147","strict three way","SocOrgPMK S minus G","Yes",0.166,0.485,"confident"
"148","strict three way","SocOrgPMK S minus P","Yes",-0.254,0.134,"not"
"164","strict three way","fissionfusion Yes minus No","Yes",-0.471,-0.206,"confident"
"172","strict three way","female_evictions Yes minus No","Yes",0.245,0.519,"confident"
"180","strict three way","origin wild minus captive","Yes",-0.166,0.048,"not"
"188","strict three way","female_infanticide Yes minus No","Yes",-0.115,0.191,"not"
"292","strict three way","jointaggression_females Yes minus No","Yes",-0.283,-0.017,"confident"
