outcome,continuouspredictor,phylogeny,estimate_lower,estimate_upper,association_present
perc_won,SexualDimorphism_MaleWeight_over_FemaleWeight,No,-1.54635605,-1.45901,confident
perc_won,SexualDimorphism_MaleWeight_over_FemaleWeight,Yes,-2.8959519,-2.2092097,confident
strict three way,SexualDimorphism_MaleWeight_over_FemaleWeight,No,-1.58452035,-1.0765956,confident
strict three way,SexualDimorphism_MaleWeight_over_FemaleWeight,Yes,-1.5934173,-1.0491156,confident
strict female dominance,SexualDimorphism_MaleWeight_over_FemaleWeight,No,-1.990978,-1.1953418,confident
strict female dominance,SexualDimorphism_MaleWeight_over_FemaleWeight,Yes,-2.7773726,-1.59366345,confident
strict male dominance,SexualDimorphism_MaleWeight_over_FemaleWeight,No,0.76320686,1.2473569,confident
strict male dominance,SexualDimorphism_MaleWeight_over_FemaleWeight,Yes,0.829091995,1.3550562,confident
perc_won,CanineDimorphism,No,-2.52168035,-2.3720578,confident
perc_won,CanineDimorphism,Yes,-2.3593075,-1.58103475,confident
strict three way,CanineDimorphism,No,-2.193239,-1.42735425,confident
strict three way,CanineDimorphism,Yes,-2.27775915,-1.4846647,confident
strict female dominance,CanineDimorphism,No,-1.95976735,-1.0991989,confident
strict female dominance,CanineDimorphism,Yes,-2.64442625,-1.44741405,confident
strict male dominance,CanineDimorphism,No,0.989823145,1.69108405,confident
strict male dominance,CanineDimorphism,Yes,1.1941881,2.06471485,confident
perc_won,homerange_overlap,No,-0.871111875,-0.795906785,confident
perc_won,homerange_overlap,Yes,-0.41318318,0.152118835,not
strict three way,homerange_overlap,No,-0.85494598,-0.307556055,confident
strict three way,homerange_overlap,Yes,-0.8976354,-0.31727656,confident
strict female dominance,homerange_overlap,No,-1.11703225,-0.410795175,confident
strict female dominance,homerange_overlap,Yes,-1.4996064,-0.54948499,confident
strict male dominance,homerange_overlap,No,0.14649316,0.68671336,confident
strict male dominance,homerange_overlap,Yes,0.15783554,0.70617568,confident
perc_won,females,No,-1.19120275,-1.11441175,confident
perc_won,females,Yes,-0.78403626,-0.482020315,confident
strict three way,females,No,-1.19055235,-0.727294315,confident
strict three way,females,Yes,-1.11892715,-0.57823835,confident
strict female dominance,females,No,-1.2856469,-0.685375095,confident
strict female dominance,females,Yes,-1.298702,-0.553204445,confident
strict male dominance,females,No,0.563439655,1.0606953,confident
strict male dominance,females,Yes,0.56068617,1.1368556,confident
perc_won,env_harshness,No,-0.51680772,-0.4334527,confident
perc_won,env_harshness,Yes,-0.53680872,0.253743575,not
strict three way,env_harshness,No,-0.793735155,-0.22484384,confident
strict three way,env_harshness,Yes,-0.943411955,-0.245874525,confident
strict female dominance,env_harshness,No,-0.73456601,-0.012055807,confident
strict female dominance,env_harshness,Yes,-1.0624,-0.166341065,confident
strict male dominance,env_harshness,No,0.199280745,0.74685535,confident
strict male dominance,env_harshness,Yes,0.193921895,0.83329417,confident
perc_won,rainfall_annualvariation,No,0.105764985,0.176921045,confident
perc_won,rainfall_annualvariation,Yes,-0.47132845,0.562064345,not
strict three way,rainfall_annualvariation,No,0.001324326,0.5561659,confident
strict three way,rainfall_annualvariation,Yes,0.005992032,0.6645876,confident
strict female dominance,rainfall_annualvariation,No,-0.18569355,0.496592605,not
strict female dominance,rainfall_annualvariation,Yes,-0.133861965,0.693576755,not
strict male dominance,rainfall_annualvariation,No,-0.536013585,-0.000607343,confident
strict male dominance,rainfall_annualvariation,Yes,-0.619084875,-0.002582613,confident
perc_won,rainfall_unpredictability,No,-0.361387265,-0.28731812,confident
perc_won,rainfall_unpredictability,Yes,0.053581044,0.90668412,confident
strict three way,rainfall_unpredictability,No,-0.800846565,-0.255371165,confident
strict three way,rainfall_unpredictability,Yes,-1.0083497,-0.34209011,confident
strict female dominance,rainfall_unpredictability,No,-1.11458125,-0.381045365,confident
strict female dominance,rainfall_unpredictability,Yes,-1.5855277,-0.62020732,confident
strict male dominance,rainfall_unpredictability,No,0.047129773,0.611777465,confident
strict male dominance,rainfall_unpredictability,Yes,0.014111601,0.691064055,confident
perc_won,relative_femalecaninesize,No,-0.7256503,-0.63318157,confident
perc_won,relative_femalecaninesize,Yes,-0.71274927,-0.098859106,confident
strict three way,relative_femalecaninesize,No,-0.76525697,-0.25937757,confident
strict three way,relative_femalecaninesize,Yes,-0.918582565,-0.20791567,confident
strict female dominance,relative_femalecaninesize,No,-1.08048485,-0.34696216,confident
strict female dominance,relative_femalecaninesize,Yes,-1.22572105,-0.166683285,confident
strict male dominance,relative_femalecaninesize,No,0.092548476,0.61910405,confident
strict male dominance,relative_femalecaninesize,Yes,0.153684795,0.86358822,confident
perc_won,sexualreceptivity_hours,No,-1.24934155,-1.14427835,confident
perc_won,sexualreceptivity_hours,Yes,-2.38641275,-1.59110015,confident
strict three way,sexualreceptivity_hours,No,-1.53905665,-0.848234675,confident
strict three way,sexualreceptivity_hours,Yes,-1.6635273,-0.882753395,confident
strict female dominance,sexualreceptivity_hours,No,-1.758355,-0.948965105,confident
strict female dominance,sexualreceptivity_hours,Yes,-2.60781145,-1.38223725,confident
strict male dominance,sexualreceptivity_hours,No,0.310525615,0.969825935,confident
strict male dominance,sexualreceptivity_hours,Yes,0.362583205,1.1769617,confident
perc_won,sexratio,No,0.97374792,1.04577165,confident
perc_won,sexratio,Yes,0.61184257,0.85376199,confident
strict three way,sexratio,No,0.7929801,1.27644465,confident
strict three way,sexratio,Yes,0.844238785,1.39966495,confident
strict female dominance,sexratio,No,0.57308554,1.1571662,confident
strict female dominance,sexratio,Yes,0.627725515,1.36492175,confident
strict male dominance,sexratio,No,-1.21439925,-0.70364634,confident
strict male dominance,sexratio,Yes,-1.47338825,-0.815069645,confident
perc_won,M_skew_index,No,-0.426328395,-0.32322724,confident
perc_won,M_skew_index,Yes,0.213077645,0.960273165,confident
strict three way,M_skew_index,No,-0.76428699,-0.079260213,confident
strict three way,M_skew_index,Yes,-0.772713655,-0.06249737,confident
strict female dominance,M_skew_index,No,-0.649715265,0.14566879,not
strict female dominance,M_skew_index,Yes,-0.7540803,0.210408465,not
strict male dominance,M_skew_index,No,0.115378925,0.92532855,confident
strict male dominance,M_skew_index,Yes,0.13697185,1.2027157,confident
perc_won,Synchrony,No,-1.06261705,-0.911816075,confident
perc_won,Synchrony,Yes,-2.13972035,-1.026245,confident
strict three way,Synchrony,No,-0.81462917,-0.189700295,confident
strict three way,Synchrony,Yes,-0.972566605,-0.126562035,confident
strict female dominance,Synchrony,No,-0.751813065,0.076454825,not
strict female dominance,Synchrony,Yes,-0.99158494,0.096132149,not
strict male dominance,Synchrony,No,0.125121665,0.73869086,confident
strict male dominance,Synchrony,Yes,0.10462168,0.83734683,confident
perc_won,relative_testes_mass,No,-0.3952951,-0.314946195,confident
perc_won,relative_testes_mass,Yes,1.14893615,1.9475576,confident
strict three way,relative_testes_mass,No,-0.66424839,-0.13584009,confident
strict three way,relative_testes_mass,Yes,-0.57925067,0.150132955,not
strict female dominance,relative_testes_mass,No,-0.781030465,-0.108905425,confident
strict female dominance,relative_testes_mass,Yes,-0.86380996,-0.053938766,confident
strict male dominance,relative_testes_mass,No,0.038662056,0.568682915,confident
strict male dominance,relative_testes_mass,Yes,0.019362894,0.65666114,confident
perc_won,female_average_relatedness,No,0.15295254,0.253116905,confident
perc_won,female_average_relatedness,Yes,-1.6651784,-0.30415595,confident
strict three way,female_average_relatedness,No,-0.081059098,0.722789465,not
strict three way,female_average_relatedness,Yes,-0.282704875,0.61800904,not
strict female dominance,female_average_relatedness,No,-0.294699475,0.625656155,not
strict female dominance,female_average_relatedness,Yes,-0.7153348,0.51021665,not
strict male dominance,female_average_relatedness,No,-0.80281814,0.05470693,not
strict male dominance,female_average_relatedness,Yes,-0.9536784,0.11194749,not
perc_won,sexratio,No,0.97294902,1.04516825,confident
perc_won,sexratio,Yes,0.62009956,0.856160835,confident
strict three way,sexratio,No,0.815928815,1.28654365,confident
strict three way,sexratio,Yes,0.842839305,1.3971719,confident
strict female dominance,sexratio,No,0.58833229,1.15827015,confident
strict female dominance,sexratio,Yes,0.62113206,1.3839309,confident
strict male dominance,sexratio,No,-1.2206011,-0.70264956,confident
strict male dominance,sexratio,Yes,-1.4552907,-0.838423525,confident
perc_won,perc_aggression_mm,No,0.44717023,0.52196943,confident
perc_won,perc_aggression_mm,Yes,-0.34737133,-0.1106168,confident
strict three way,perc_aggression_mm,No,0.427062045,1.09271715,confident
strict three way,perc_aggression_mm,Yes,0.397523595,1.10767455,confident
strict female dominance,perc_aggression_mm,No,-0.047113982,0.68275526,not
strict female dominance,perc_aggression_mm,Yes,-0.18510067,0.90865064,not
strict male dominance,perc_aggression_mm,No,-1.2495708,-0.458791845,confident
strict male dominance,perc_aggression_mm,Yes,-1.53106825,-0.58031425,confident
perc_won,males,No,-0.50156698,-0.44418058,confident
perc_won,males,Yes,-0.003823489,0.21722311,not
strict three way,males,No,-0.46893682,-0.066345852,confident
strict three way,males,Yes,-0.26636134,0.215663055,not
strict female dominance,males,No,-0.635708035,-0.094318686,confident
strict female dominance,males,Yes,-0.691711885,-0.021259357,confident
strict male dominance,males,No,-0.030667942,0.390701215,not
strict male dominance,males,Yes,-0.23247715,0.307690385,not
perc_won,SocOrgPMK P minus G,No,0.392151884,0.499656475,confident
perc_won,SocOrgPMK S minus G,No,0.367117436,0.473285058,confident
perc_won,SocOrgPMK S minus P,No,-0.059787076,0.00649218,not
perc_won,SocOrgPMK P minus G,Yes,0.699244392,0.864347854,confident
perc_won,SocOrgPMK S minus G,Yes,0.518429284,0.808260904,confident
perc_won,SocOrgPMK S minus P,Yes,-0.290491746,0.02788688,not
strict three way,SocOrgPMK P minus G,No,0.24127918,0.513902902,confident
strict three way,SocOrgPMK S minus G,No,0.200337034,0.480855383,confident
strict three way,SocOrgPMK S minus P,No,-0.212944532,0.133260581,not
strict three way,SocOrgPMK P minus G,Yes,0.235739555,0.530131531,confident
strict three way,SocOrgPMK S minus G,Yes,0.166083963,0.485161888,confident
strict three way,SocOrgPMK S minus P,Yes,-0.254418222,0.133536598,not
strict female dominance,SocOrgPMK P minus G,No,0.228483612,0.503814487,confident
strict female dominance,SocOrgPMK S minus G,No,0.181769361,0.468697355,confident
strict female dominance,SocOrgPMK S minus P,No,-0.241595461,0.155514547,not
