,outcome,nestingvariable,phylogeny,contrast lower,contrast upper
1,perc_won,no dimorphic sexratio,no,0.55883884,0.684364135
2,perc_won,dimorphic sexratio,no,0.447999305,0.56811961
3,perc_won,no dimorphic sexratio,yes,1.1867845,1.5608761
4,perc_won,dimorphic sexratio,yes,-0.647928835,-0.247743735
5,strict,no dimorphic sexratio,no,0.487187555,1.43488235
6,strict,dimorphic sexratio,no,0.53888659,1.1831508
7,strict,no dimorphic sexratio,yes,0.52063024,1.4617671
8,strict,dimorphic sexratio,yes,0.518513035,1.2194386
9,relaxed,no dimorphic sexratio,no,0.31027421,1.2599032
10,relaxed,dimorphic sexratio,no,0.11250275,0.93601675
11,relaxed,no dimorphic sexratio,yes,1.29021265,2.56100355
12,relaxed,dimorphic sexratio,yes,0.411551145,1.35318205
13,perc_won,no dimorphic female_average_relatedness,no,-0.6032401,-0.43106274
14,perc_won,dimorphic female_average_relatedness,no,-2.02800535,-1.5144558
15,perc_won,no dimorphic female_average_relatedness,yes,-2.245801,-1.69039125
16,perc_won,dimorphic female_average_relatedness,yes,-1.7654554,0.714705855
17,strict,no dimorphic female_average_relatedness,no,-1.0058342,0.23608058
18,strict,dimorphic female_average_relatedness,no,-1.1022985,0.737932355
19,strict,no dimorphic female_average_relatedness,yes,-1.0700952,0.229932915
20,strict,dimorphic female_average_relatedness,yes,-1.0664675,0.74874804
21,relaxed,no dimorphic female_average_relatedness,no,-0.667164925,0.38471118
22,relaxed,dimorphic female_average_relatedness,no,-1.0305419,0.33120666
23,relaxed,no dimorphic female_average_relatedness,yes,-0.49367306,0.81408841
24,relaxed,dimorphic female_average_relatedness,yes,-1.0212404,0.782664005
25,perc_won,no dimorphic Synchrony,no,-7.06682385,-4.94544945
26,perc_won,dimorphic Synchrony,no,-0.913978545,-0.707802005
27,perc_won,no dimorphic Synchrony,yes,-2.63221505,0.236011085
28,perc_won,dimorphic Synchrony,yes,-1.2336309,-0.085717416
29,strict,no dimorphic Synchrony,no,-2.4054434,0.128516395
30,strict,dimorphic Synchrony,no,-0.359213795,0.34712636
31,strict,no dimorphic Synchrony,yes,-2.45945715,0.22303751
32,strict,dimorphic Synchrony,yes,-0.313518455,0.6031852
33,relaxed,no dimorphic Synchrony,no,-1.127507,0.359791325
34,relaxed,dimorphic Synchrony,no,0.043818936,0.80124132
35,relaxed,no dimorphic Synchrony,yes,-3.6004824,-1.5995529
36,relaxed,dimorphic Synchrony,yes,-0.033598756,0.974760565
37,perc_won,no dimorphic r_seasonality_value,no,0.908634515,1.23879605
38,perc_won,dimorphic r_seasonality_value,no,0.501723335,0.684619775
39,perc_won,no dimorphic r_seasonality_value,yes,-0.049475955,1.28983825
40,perc_won,dimorphic r_seasonality_value,yes,0.37502597,1.39332135
41,strict,no dimorphic r_seasonality_value,no,0.216077075,1.8821418
42,strict,dimorphic r_seasonality_value,no,0.023946247,0.94465396
43,strict,no dimorphic r_seasonality_value,yes,0.10613161,1.94038485
44,strict,dimorphic r_seasonality_value,yes,0.123931305,1.1639523
45,relaxed,no dimorphic r_seasonality_value,no,-0.35328873,1.02633145
46,relaxed,dimorphic r_seasonality_value,no,-0.141194235,0.95048805
47,relaxed,no dimorphic r_seasonality_value,yes,0.241609825,2.35184255
48,relaxed,dimorphic r_seasonality_value,yes,-0.026034063,1.42061275
49,perc_won,no dimorphic male_skew,no,2.61102045,3.18187475
50,perc_won,dimorphic male_skew,no,-0.263417765,-0.084785278
51,perc_won,no dimorphic male_skew,yes,2.93416325,4.43358155
52,perc_won,dimorphic male_skew,yes,-0.240632245,0.70381786
53,strict,no dimorphic male_skew,no,0.14000843,2.4290021
54,strict,dimorphic male_skew,no,-0.65650916,0.37719129
55,strict,no dimorphic male_skew,yes,0.189757915,2.41098125
56,strict,dimorphic male_skew,yes,-0.755293915,0.315982545
57,relaxed,no dimorphic male_skew,no,-0.2789972,1.1097953
