,outcome,nestingvariable,phylogeny,contrast lower,contrast upper
1,perc_won,no dimorphic sexratio,no,0.57862381,0.70811209
2,perc_won,dimorphic sexratio,no,0.446249955,0.56793329
3,perc_won,no dimorphic sexratio,yes,1.1883923,1.58685055
4,perc_won,dimorphic sexratio,yes,-0.619825005,-0.230480255
5,strict,no dimorphic sexratio,no,0.397099735,1.3684073
6,strict,dimorphic sexratio,no,0.42919546,1.0684972
7,strict,no dimorphic sexratio,yes,0.401955185,1.3823657
8,strict,dimorphic sexratio,yes,0.43877451,1.1407262
9,relaxed,no dimorphic sexratio,no,0.30789171,1.2425587
10,relaxed,dimorphic sexratio,no,0.056595378,0.81834715
11,relaxed,no dimorphic sexratio,yes,1.0963069,2.4139896
12,relaxed,dimorphic sexratio,yes,0.25048985,1.1833216
13,perc_won,no dimorphic SexualDimorphism_MaleWeight_over_FemaleWeight,no,-1.5883233,-1.23271095
14,perc_won,dimorphic SexualDimorphism_MaleWeight_over_FemaleWeight,no,-0.850003315,-0.676974265
15,perc_won,no dimorphic SexualDimorphism_MaleWeight_over_FemaleWeight,yes,-0.823685,1.1886953
16,perc_won,dimorphic SexualDimorphism_MaleWeight_over_FemaleWeight,yes,-1.74225115,-0.61444705
17,strict,no dimorphic SexualDimorphism_MaleWeight_over_FemaleWeight,no,-2.0669807,-0.253369295
18,strict,dimorphic SexualDimorphism_MaleWeight_over_FemaleWeight,no,-1.16896565,-0.410803745
19,strict,no dimorphic SexualDimorphism_MaleWeight_over_FemaleWeight,yes,-2.01172235,-0.26306472
20,strict,dimorphic SexualDimorphism_MaleWeight_over_FemaleWeight,yes,-1.2648175,-0.40630304
21,relaxed,no dimorphic SexualDimorphism_MaleWeight_over_FemaleWeight,no,-1.17329035,0.13722902
22,relaxed,dimorphic SexualDimorphism_MaleWeight_over_FemaleWeight,no,-1.4890799,-0.476478115
23,relaxed,no dimorphic SexualDimorphism_MaleWeight_over_FemaleWeight,yes,-2.487154,-1.19857
24,relaxed,dimorphic SexualDimorphism_MaleWeight_over_FemaleWeight,yes,-2.1482628,-0.770142915
25,perc_won,no dimorphic CanineDimorphism,no,-3.3914944,-2.9559456
26,perc_won,dimorphic CanineDimorphism,no,-1.4681044,-1.2689978
27,perc_won,no dimorphic CanineDimorphism,yes,-3.24943885,-0.937697935
28,perc_won,dimorphic CanineDimorphism,yes,-1.425792,-0.55990848
29,strict,no dimorphic CanineDimorphism,no,-2.7954458,-0.97756014
30,strict,dimorphic CanineDimorphism,no,-1.70904615,-0.74614219
31,strict,no dimorphic CanineDimorphism,yes,-2.8093465,-0.904870095
32,strict,dimorphic CanineDimorphism,yes,-1.852904,-0.815613175
33,relaxed,no dimorphic CanineDimorphism,no,-1.46032375,-0.276543235
34,relaxed,dimorphic CanineDimorphism,no,-1.33363915,-0.35199454
35,relaxed,no dimorphic CanineDimorphism,yes,-3.25972955,-1.7586994
36,relaxed,dimorphic CanineDimorphism,yes,-2.52440935,-1.02805555
37,perc_won,no dimorphic female_average_relatedness,no,-0.579899245,-0.39652905
38,perc_won,dimorphic female_average_relatedness,no,-1.9790647,-1.48627185
39,perc_won,no dimorphic female_average_relatedness,yes,-2.2472953,-1.66618255
40,perc_won,dimorphic female_average_relatedness,yes,-1.88493885,0.66015749
41,strict,no dimorphic female_average_relatedness,no,-1.10568755,0.179004625
42,strict,dimorphic female_average_relatedness,no,-1.05637825,0.68847041
43,strict,no dimorphic female_average_relatedness,yes,-1.1023587,0.11739014
44,strict,dimorphic female_average_relatedness,yes,-1.1237374,0.75667538
45,relaxed,no dimorphic female_average_relatedness,no,-0.676953185,0.35987181
46,relaxed,dimorphic female_average_relatedness,no,-1.02073675,0.331168305
47,relaxed,no dimorphic female_average_relatedness,yes,-0.483818555,0.84924592
48,relaxed,dimorphic female_average_relatedness,yes,-1.0654416,0.87731309
49,perc_won,no dimorphic Synchrony,no,-7.02713055,-4.86714805
50,perc_won,dimorphic Synchrony,no,-0.912860265,-0.71194513
51,perc_won,no dimorphic Synchrony,yes,-2.6859987,0.238604335
52,perc_won,dimorphic Synchrony,yes,-1.19320475,-0.141201545
53,strict,no dimorphic Synchrony,no,-2.17971685,0.446779965
54,strict,dimorphic Synchrony,no,-0.36104627,0.34600435
55,strict,no dimorphic Synchrony,yes,-2.2953476,0.419003225
56,strict,dimorphic Synchrony,yes,-0.28474676,0.676433345
57,relaxed,no dimorphic Synchrony,no,-1.1278864,0.35071702
58,relaxed,dimorphic Synchrony,no,0.031044586,0.798562085
59,relaxed,no dimorphic Synchrony,yes,-3.4602831,-1.47322295
60,relaxed,dimorphic Synchrony,yes,-0.178400855,0.82759824
61,perc_won,no dimorphic r_seasonality_value,no,0.91286236,1.2302598
62,perc_won,dimorphic r_seasonality_value,no,0.504525395,0.69065923
