"","outcome","nestingvariable","phylogeny","contrast lower","contrast upper"
"1","perc_won","no lemur sexratio","no",0.41035907,0.50456445
"2","perc_won","lemur sexratio","no",-0.41189677,-0.137390215
"3","perc_won","no lemur sexratio","yes",0.148959285,0.407038225
"4","perc_won","lemur sexratio","yes",1.2195396,1.85177635
"5","strict","no lemur sexratio","no",0.62591299,1.19011375
"6","strict","lemur sexratio","no",-0.67238472,0.91863436
"7","strict","no lemur sexratio","yes",0.62539905,1.2395444
"8","strict","lemur sexratio","yes",-0.657919445,1.12556485
"9","relaxed","no lemur sexratio","no",0.2233327,0.9148893
"10","relaxed","lemur sexratio","no",-0.46793157,0.863933255
"11","relaxed","no lemur sexratio","yes",0.4058799,1.18742335
"12","relaxed","lemur sexratio","yes",2.19556985,3.91753395
"13","perc_won","no lemur SexualDimorphism_MaleWeight_over_FemaleWeight","no",-0.398976805,-0.299131525
"14","perc_won","lemur SexualDimorphism_MaleWeight_over_FemaleWeight","no",-0.918640335,-0.318232785
"15","perc_won","no lemur SexualDimorphism_MaleWeight_over_FemaleWeight","yes",-0.57490268,0.0598665030000001
"16","perc_won","lemur SexualDimorphism_MaleWeight_over_FemaleWeight","yes",-3.18212785,-1.12399585
"17","strict","no lemur SexualDimorphism_MaleWeight_over_FemaleWeight","no",-0.757416325,-0.207304765
"18","strict","lemur SexualDimorphism_MaleWeight_over_FemaleWeight","no",-2.3653411,-0.20885771
"19","strict","no lemur SexualDimorphism_MaleWeight_over_FemaleWeight","yes",-0.746905465,-0.209318495
"20","strict","lemur SexualDimorphism_MaleWeight_over_FemaleWeight","yes",-2.4905451,-0.20836277
"21","relaxed","no lemur SexualDimorphism_MaleWeight_over_FemaleWeight","no",-0.950707955,-0.157255175
"22","relaxed","lemur SexualDimorphism_MaleWeight_over_FemaleWeight","no",-1.1890926,0.214582265
"23","relaxed","no lemur SexualDimorphism_MaleWeight_over_FemaleWeight","yes",-1.234024,-0.275952675
"24","relaxed","lemur SexualDimorphism_MaleWeight_over_FemaleWeight","yes",-4.40033885,-2.9351222
"25","perc_won","no lemur female_average_relatedness","no",-0.10641708,0.030417918
"26","perc_won","lemur female_average_relatedness","no",-1.0731896,-0.4202009
"27","perc_won","no lemur female_average_relatedness","yes",-0.379771175,0.26026923
"28","perc_won","lemur female_average_relatedness","yes",-2.74343495,-0.157044905
"29","strict","no lemur female_average_relatedness","no",-0.31313292,0.64929522
"30","strict","lemur female_average_relatedness","no",-1.16508055,1.45081655
"31","strict","no lemur female_average_relatedness","yes",-0.34897141,0.639577170000001
"32","strict","lemur female_average_relatedness","yes",-1.06227975,1.4825005
"33","relaxed","no lemur female_average_relatedness","no",-0.582689765,0.40029962
"34","relaxed","lemur female_average_relatedness","no",-0.640204535,0.876911995
"35","relaxed","no lemur female_average_relatedness","yes",-0.760801345,0.350969735
"36","relaxed","lemur female_average_relatedness","yes",-0.029917532,2.3578344
"37","perc_won","no lemur Synchrony","no",-0.93383876,-0.72694958
"38","perc_won","lemur Synchrony","no",-2.1022159,0.66438427
"39","perc_won","no lemur Synchrony","yes",-1.35438385,-0.24774401
"40","perc_won","lemur Synchrony","yes",-2.49764925,0.276229975000001
"41","strict","no lemur Synchrony","no",-0.48667326,0.199427575
"42","strict","lemur Synchrony","no",-2.4874109,0.113430710000001
"43","strict","no lemur Synchrony","yes",-0.43432757,0.425838425
"44","strict","lemur Synchrony","yes",-2.63618065,0.196067245000001
"45","relaxed","no lemur Synchrony","no",-0.0435173675,0.709079005
"46","relaxed","lemur Synchrony","no",-1.1455895,0.36719113
"47","relaxed","no lemur Synchrony","yes",-0.0857834665,0.895315625
"48","relaxed","lemur Synchrony","yes",-3.5740826,-1.51298015
"49","perc_won","no lemur r_seasonality_value","no",0.096062119,0.25268422
"50","perc_won","lemur r_seasonality_value","no",1.6221791,3.6268128
"51","perc_won","no lemur r_seasonality_value","yes",0.00715361764999998,1.09555235
"52","perc_won","lemur r_seasonality_value","yes",-0.506869295,2.0642865
"53","strict","no lemur r_seasonality_value","no",-0.119058835,0.6924815
"54","strict","lemur r_seasonality_value","no",0.178393905,2.6582084
"55","strict","no lemur r_seasonality_value","yes",-0.064770292,0.923976185
"56","strict","lemur r_seasonality_value","yes",-0.0461568985,2.683516
"57","relaxed","no lemur r_seasonality_value","no",-0.30892016,0.704329955
"58","relaxed","lemur r_seasonality_value","no",-0.42583895,1.0286473
"59","relaxed","no lemur r_seasonality_value","yes",-0.241674175,1.0733762
"60","relaxed","lemur r_seasonality_value","yes",0.78842019,3.1078193
"61","perc_won","no lemur male_skew","no",-0.0429051085,0.100061155
"62","perc_won","lemur male_skew","no",2.16687115,3.73619085
"63","perc_won","no lemur male_skew","yes",-0.05912768,0.7037387
"64","perc_won","lemur male_skew","yes",0.0449349215,2.3453914
"65","strict","no lemur male_skew","no",-0.311652325,0.60389272
"66","strict","lemur male_skew","no",0.167178055,2.51891915
"67","strict","no lemur male_skew","yes",-0.41800566,0.5484078
"68","strict","lemur male_skew","yes",0.091223779,2.5213788
"69","relaxed","no lemur male_skew","no",-0.814482015,0.107874465
"70","relaxed","lemur male_skew","no",-0.180717955,1.17608125
"71","relaxed","no lemur male_skew","yes",-1.0085575,0.165417615
"72","relaxed","lemur male_skew","yes",1.04680385,3.1146351
"73","perc_won","no lemur env_harshness","no",-0.3080392,-0.202675515
"74","perc_won","lemur env_harshness","no",-0.400148315,-0.035561798
"75","perc_won","no lemur env_harshness","yes",-1.07449655,-0.0422123015
"76","perc_won","lemur env_harshness","yes",-2.3979965,-0.0100711217999998
"77","strict","no lemur env_harshness","no",-0.658257085,-0.0591878925
"78","strict","lemur env_harshness","no",-1.3555165,0.80224248
"79","strict","no lemur env_harshness","yes",-0.672017065,-0.027756296
"80","strict","lemur env_harshness","yes",-1.4313558,0.73491889
"81","relaxed","no lemur env_harshness","no",-0.555096185,0.243437565
"82","relaxed","lemur env_harshness","no",-0.88166378,0.60094945
"83","relaxed","no lemur env_harshness","yes",-0.52056659,0.330658035
"84","relaxed","lemur env_harshness","yes",-3.32594505,-1.2472655
"85","perc_won","no lemur rainfall_unpredictability","no",-0.0370122075,0.081834372
"86","perc_won","lemur rainfall_unpredictability","no",-0.435585515,-0.24803782
"87","perc_won","no lemur rainfall_unpredictability","yes",-0.21965387,0.93882161
"88","perc_won","lemur rainfall_unpredictability","yes",-1.5116583,0.199205915
"89","strict","no lemur rainfall_unpredictability","no",-0.64179171,0.00802044910000002
"90","strict","lemur rainfall_unpredictability","no",-1.5117764,0.033039975
"91","strict","no lemur rainfall_unpredictability","yes",-0.66782,0.0586935625
"92","strict","lemur rainfall_unpredictability","yes",-1.54657715,0.0340773640000002
"93","relaxed","no lemur rainfall_unpredictability","no",-0.707530815,0.20300277
"94","relaxed","lemur rainfall_unpredictability","no",-0.853845,0.369097990000001
"95","relaxed","no lemur rainfall_unpredictability","yes",-0.71262725,0.17532353
"96","relaxed","lemur rainfall_unpredictability","yes",-2.4175454,-0.71268283
"97","perc_won","no lemur female_canine_height","no",-0.455534295,-0.313772075
"98","perc_won","lemur female_canine_height","no",0.0245038175,0.255411365
"99","perc_won","no lemur female_canine_height","yes",-0.924956845,-0.20170245
"100","perc_won","lemur female_canine_height","yes",-1.2636813,-0.30189072
"101","strict","no lemur female_canine_height","no",-0.908799635,-0.26433267
"102","strict","lemur female_canine_height","no",-0.875202255,0.477715735
"103","strict","no lemur female_canine_height","yes",-0.990439325,-0.266383105
"104","strict","lemur female_canine_height","yes",-0.873772175,0.533077465
"105","relaxed","no lemur female_canine_height","no",-1.302054,-0.441448585
"106","relaxed","lemur female_canine_height","no",-1.05990825,0.186580105
"107","relaxed","no lemur female_canine_height","yes",-1.295694,-0.27485843
"108","relaxed","lemur female_canine_height","yes",-2.9774506,-0.924322025
"109","perc_won","no lemur male_canine_height","no",-0.83472386,-0.66619763
"110","perc_won","lemur male_canine_height","no",0.22441007,0.82443528
"111","perc_won","no lemur male_canine_height","yes",-0.89514743,-0.064477518
"112","perc_won","lemur male_canine_height","yes",-2.42876155,-0.264171285
"113","strict","no lemur male_canine_height","no",-1.42680915,-0.621745245
"114","strict","lemur male_canine_height","no",-1.9834092,0.317362465
"115","strict","no lemur male_canine_height","yes",-1.4812545,-0.613790315
"116","strict","lemur male_canine_height","yes",-2.106017,0.32886522
"117","relaxed","no lemur male_canine_height","no",-1.4242844,-0.449066005
"118","relaxed","lemur male_canine_height","no",-1.19252445,0.21299472
"119","relaxed","no lemur male_canine_height","yes",-1.8733968,-0.505294555
"120","relaxed","lemur male_canine_height","yes",-4.114324,-2.223282
"121","perc_won","no lemur females","no",-1.3050585,-1.01643075
"122","perc_won","lemur females","no",0.16243711,1.8970843
"123","perc_won","no lemur females","yes",-1.260416,-0.58932003
"124","perc_won","lemur females","yes",-2.85243205,0.0644026045000004
"125","strict","no lemur females","no",-1.12754155,-0.268465395
"126","strict","lemur females","no",-2.1548011,0.728168440000001
"127","strict","no lemur females","yes",-1.1427175,-0.306168635
"128","strict","lemur females","yes",-2.13781405,0.775628075
"129","relaxed","no lemur females","no",-1.03780815,-0.0564030194999999
"130","relaxed","lemur females","no",-1.0879081,0.52135585
"131","relaxed","no lemur females","yes",-1.42076725,-0.185609245
"132","relaxed","lemur females","yes",-5.5808264,-3.46389855
"133","perc_won","no lemur homerange_overlap","no",-0.0842221095,0.027595479
"134","perc_won","lemur homerange_overlap","no",-0.270925075,0.0733977755
"135","perc_won","no lemur homerange_overlap","yes",-0.39969003,0.134305015
"136","perc_won","lemur homerange_overlap","yes",-0.92743718,0.659296225
"137","strict","no lemur homerange_overlap","no",-0.27765067,0.33909847
"138","strict","lemur homerange_overlap","no",-1.3628227,0.263556725
"139","strict","no lemur homerange_overlap","yes",-0.321832415,0.352195455
"140","strict","lemur homerange_overlap","yes",-1.4091042,0.304476505
"141","relaxed","no lemur homerange_overlap","no",-0.79206218,0.00223665175000013
"142","relaxed","lemur homerange_overlap","no",-1.34653905,-0.000487030889999889
"143","relaxed","no lemur homerange_overlap","yes",-0.893466995,-0.0418580464999999
"144","relaxed","lemur homerange_overlap","yes",-3.9268279,-1.95241175
"145","perc_won","no lemur perc_aggression_mm","no",0.36903595,0.489776355
"146","perc_won","lemur perc_aggression_mm","no",0.788206705,1.3220041
"147","perc_won","no lemur perc_aggression_mm","yes",-0.41770208,0.0168624725
"148","perc_won","lemur perc_aggression_mm","yes",0.23962104,1.35235605
"149","strict","no lemur perc_aggression_mm","no",0.0206893145,0.928206715
