"","outcome","continuouspredictor","phylogeny","estimate lower","estimate upper","association_present"
"1","perc_won","sexratio","No",0.41644112,0.527916795,"confident"
"2","perc_won","sexratio","Yes",-0.24126839,0.13563441,"not"
"3","strict three way","sexratio","No",0.391918755,1.02947605,"confident"
"4","strict three way","sexratio","Yes",0.535877045,1.21241575,"confident"
"5","strict female dominance","sexratio","No",-0.515460305,0.50512509,"not"
"6","strict female dominance","sexratio","Yes",-0.82793223,0.576628795,"not"
"7","strict male dominance","sexratio","No",-1.00374695,-0.41027429,"confident"
"8","strict male dominance","sexratio","Yes",-1.39984165,-0.64564213,"confident"
"9","perc_won","SexualDimorphism_MaleWeight_over_FemaleWeight","No",-0.619629365,-0.4941369,"confident"
"10","perc_won","SexualDimorphism_MaleWeight_over_FemaleWeight","Yes",-1.35835135,-1.01019835,"confident"
"11","strict three way","SexualDimorphism_MaleWeight_over_FemaleWeight","No",-0.93370156,-0.318674205,"confident"
"12","strict three way","SexualDimorphism_MaleWeight_over_FemaleWeight","Yes",-0.95133115,-0.307699,"confident"
"13","strict female dominance","SexualDimorphism_MaleWeight_over_FemaleWeight","No",-0.97521306,0.0347432985,"not"
"14","strict female dominance","SexualDimorphism_MaleWeight_over_FemaleWeight","Yes",-1.72168345,-0.11671164,"confident"
"15","strict male dominance","SexualDimorphism_MaleWeight_over_FemaleWeight","No",0.231549715,0.81667629,"confident"
"16","strict male dominance","SexualDimorphism_MaleWeight_over_FemaleWeight","Yes",0.286965135,0.937396725,"confident"
"17","perc_won","CanineDimorphism","No",-1.31187385,-1.13132625,"confident"
"18","perc_won","CanineDimorphism","Yes",-1.39547905,-0.87778425,"confident"
"19","strict three way","CanineDimorphism","No",-1.47102055,-0.66545978,"confident"
"20","strict three way","CanineDimorphism","Yes",-1.44985555,-0.628331325,"confident"
"21","strict female dominance","CanineDimorphism","No",-0.793650915,0.239231095,"not"
"22","strict female dominance","CanineDimorphism","Yes",-1.2314899,0.130640395,"not"
"23","strict male dominance","CanineDimorphism","No",0.56959903,1.35597775,"confident"
"24","strict male dominance","CanineDimorphism","Yes",0.72214852,1.65628605,"confident"
"25","perc_won","female_average_relatedness","No",-1.25320495,-0.95104107,"confident"
"26","perc_won","female_average_relatedness","Yes",-4.18710785,-2.55379525,"confident"
"27","strict three way","female_average_relatedness","No",-1.01551205,0.23372373,"not"
"28","strict three way","female_average_relatedness","Yes",-1.1989395,0.229054725,"not"
"29","strict female dominance","female_average_relatedness","No",-0.626253685,0.647699105,"not"
"30","strict female dominance","female_average_relatedness","Yes",-1.1863919,1.10793775,"not"
"31","strict male dominance","female_average_relatedness","No",-0.25565346,0.79516985,"not"
"32","strict male dominance","female_average_relatedness","Yes",-0.19425971,1.1377679,"not"
"33","perc_won","Synchrony","No",-1.00097165,-0.770827245,"confident"
"34","perc_won","Synchrony","Yes",-2.7368175,-1.8794326,"confident"
"35","strict three way","Synchrony","No",-0.330639895,0.353598285,"not"
"36","strict three way","Synchrony","Yes",-0.392553645,0.4273429,"not"
"37","strict female dominance","Synchrony","No",-0.0755443895,0.97806485,"not"
"38","strict female dominance","Synchrony","Yes",-0.0698384595,1.4632879,"not"
"39","strict male dominance","Synchrony","No",-0.260959065,0.41646027,"not"
