"","outcome","continuouspredictor","phylogeny","estimate lower","estimate upper","association_present","estimate.lower","estimate.upper"
"178","perc_won","SocOrgPMK P minus G","Yes",0.219629057088367,0.637426009006034,"confident",0.22,0.637
"10","perc_won","SexualDimorphism_MaleWeight_over_FemaleWeight","Yes",-1.35835135,-1.01019835,"confident",-1.358,-1.01
"18","perc_won","CanineDimorphism","Yes",-1.39547905,-0.87778425,"confident",-1.395,-0.878
"122","perc_won","homerange_overlap","Yes",-0.498113155,0.23695436,"not",-0.498,0.237
"378","perc_won","fissionfusion Yes minus No","Yes",0.0466375682961205,0.400101952143915,"confident",0.047,0.4
"26","perc_won","female_average_relatedness","Yes",-4.18710785,-2.55379525,"confident",-4.187,-2.554
"90","perc_won","female_canine_height","Yes",-1.4640647,-0.61817212,"confident",-1.464,-0.618
"106","perc_won","females","Yes",-0.66867489,-0.20492474,"confident",-0.669,-0.205
"170","perc_won","relative_femalecaninesize","Yes",-0.20646934,0.492525615,"not",-0.206,0.493
"234","perc_won","female_dispersal Yes minus No","Yes",0.246936879450269,0.523512441259986,"confident",0.247,0.524
"274","perc_won","jointaggression_females Yes minus No","Yes",-0.609607466724289,-0.203347730165777,"confident",-0.61,-0.203
"290","perc_won","female_evictions Yes minus No","Yes",-0.615202264238654,-0.0127285967350391,"confident",-0.615,-0.013
"298","perc_won","female_infanticide Yes minus No","Yes",-0.394505612568254,-0.0717870849089179,"confident",-0.395,-0.072
"2901","perc_won","female_evictions Yes minus No","Yes",-0.615202264238654,-0.0127285967350391,"confident",-0.615,-0.013
"2981","perc_won","female_infanticide Yes minus No","Yes",-0.394505612568254,-0.0717870849089179,"confident",-0.395,-0.072
"1701","perc_won","relative_femalecaninesize","Yes",-0.20646934,0.492525615,"not",-0.206,0.493
"356","perc_won","origin provisioned minus captive","Yes",0.115831610114916,0.508354840865638,"confident",0.116,0.508
"357","perc_won","origin wild minus captive","Yes",0.249473156763205,0.455531138431113,"confident",0.249,0.456
"358","perc_won","origin wild minus provisioned","Yes",-0.137252075368835,0.244410501769818,"not",-0.137,0.244
"58","perc_won","env_harshness","Yes",-0.61493533,0.276469835,"not",-0.615,0.276
"74","perc_won","rainfall_annualvariation","Yes",0.46716159,1.04425915,"confident",0.467,1.044
"66","perc_won","rainfall_unpredictability","Yes",0.80471499,1.5298019,"confident",0.805,1.53
"191","perc_won","MatSysPMK PAN minus MON","Yes",-0.416080013313911,0.245448566998386,"not",-0.416,0.245
"192","perc_won","MatSysPMK POL minus MON","Yes",-0.676644127433873,-0.284071748264292,"confident",-0.677,-0.284
"193","perc_won","MatSysPMK PRO minus MON","Yes",-0.220507331374921,0.242458550739881,"not",-0.221,0.242
"194","perc_won","MatSysPMK POL minus PAN","Yes",-0.664529918127308,-0.131766309849214,"confident",-0.665,-0.132
"195","perc_won","MatSysPMK PRO minus PAN","Yes",-0.175968218478619,0.385620422383189,"not",-0.176,0.386
"196","perc_won","MatSysPMK PRO minus POL","Yes",0.34627823719826,0.628986398055804,"confident",0.346,0.629
"332","perc_won","Strata_Wilman G minus Ar","Yes",-0.712502793248224,-0.446637616301867,"confident",-0.713,-0.447
"333","perc_won","Strata_Wilman S minus Ar","Yes",-0.316171480040844,0.0662146758789622,"not",-0.316,0.066
"334","perc_won","Strata_Wilman S minus G","Yes",0.277811144346255,0.643816197590351,"confident",0.278,0.644
"138","perc_won","sexualreceptivity_hours","Yes",-0.612405255,0.360243485,"not",-0.612,0.36
"2","perc_won","sexratio","Yes",-0.24126839,0.13563441,"not",-0.241,0.136
"50","perc_won","M_skew_index","Yes",-0.325638465,0.51969876,"not",-0.326,0.52
"162","perc_won","relative_testes_mass","Yes",-0.92060822,-0.0908379389999999,"confident",-0.921,-0.091
"34","perc_won","Synchrony","Yes",-2.7368175,-1.8794326,"confident",-2.737,-1.879
"146","perc_won","receptive_synchrony","Yes",-2.8770687,-1.9509474,"confident",-2.877,-1.951
"21","perc_won","sexratio","Yes",-0.24126839,0.13563441,"not",-0.241,0.136
"130","perc_won","perc_aggression_mm","Yes",-0.361085885,0.10718275,"not",-0.361,0.107
"101","perc_won","SexualDimorphism_MaleWeight_over_FemaleWeight","Yes",-1.35835135,-1.01019835,"confident",-1.358,-1.01
"261","perc_won","female_average_relatedness","Yes",-4.18710785,-2.55379525,"confident",-4.187,-2.554
"901","perc_won","female_canine_height","Yes",-1.4640647,-0.61817212,"confident",-1.464,-0.618
"98","perc_won","male_canine_height","Yes",-1.19272035,-0.62779116,"confident",-1.193,-0.628
"1061","perc_won","females","Yes",-0.66867489,-0.20492474,"confident",-0.669,-0.205
"114","perc_won","males","Yes",-0.62696387,-0.149638535,"confident",-0.627,-0.15
"1702","perc_won","relative_femalecaninesize","Yes",-0.20646934,0.492525615,"not",-0.206,0.493
"2341","perc_won","female_dispersal Yes minus No","Yes",0.246936879450269,0.523512441259986,"confident",0.247,0.524
"242","perc_won","male_dispersal Yes minus No","Yes",-0.567337996274089,-0.267072201051201,"confident",-0.567,-0.267
"252","perc_won","sexbias_dispersal Female minus Both","Yes",-0.0649647538526773,0.455808737652523,"not",-0.065,0.456
"254","perc_won","sexbias_dispersal Male minus Female","Yes",-0.57884988599343,-0.283951972504117,"confident",-0.579,-0.284
"2741","perc_won","jointaggression_females Yes minus No","Yes",-0.609607466724289,-0.203347730165777,"confident",-0.61,-0.203
"282","perc_won","jointaggression_males Yes minus No","Yes",0.160993590848183,0.56546844877477,"confident",0.161,0.565
"2902","perc_won","female_evictions Yes minus No","Yes",-0.615202264238654,-0.0127285967350391,"confident",-0.615,-0.013
"2982","perc_won","female_infanticide Yes minus No","Yes",-0.394505612568254,-0.0717870849089179,"confident",-0.395,-0.072
"2521","perc_won","sexbias_dispersal Female minus Both","Yes",-0.0649647538526773,0.455808737652523,"not",-0.065,0.456
"253","perc_won","sexbias_dispersal Male minus Both","Yes",-0.467117519903289,-0.0345537163586646,"confident",-0.467,-0.035
"2541","perc_won","sexbias_dispersal Male minus Female","Yes",-0.57884988599343,-0.283951972504117,"confident",-0.579,-0.284
"262","perc_won","female_average_relatedness","Yes",-4.18710785,-2.55379525,"confident",-4.187,-2.554
"2742","perc_won","jointaggression_females Yes minus No","Yes",-0.609607466724289,-0.203347730165777,"confident",-0.61,-0.203
"2821","perc_won","jointaggression_males Yes minus No","Yes",0.160993590848183,0.56546844877477,"confident",0.161,0.565
