"","outcome","continuouspredictor","phylogeny","estimate lower","estimate upper","association_present","estimate.lower","estimate.upper"
"180","strict three way","SocOrgPMK P minus G","Yes",-0.0787615451399238,0.357293384157345,"not",-0.079,0.357
"12","strict three way","SexualDimorphism_MaleWeight_over_FemaleWeight","Yes",-0.95133115,-0.307699,"confident",-0.951,-0.308
"20","strict three way","CanineDimorphism","Yes",-1.44985555,-0.628331325,"confident",-1.45,-0.628
"124","strict three way","homerange_overlap","Yes",-0.28945613,0.443071525,"not",-0.289,0.443
"380","strict three way","fissionfusion Yes minus No","Yes",-0.248586232449899,0.0487246493626659,"not",-0.249,0.049
"28","strict three way","female_average_relatedness","Yes",-1.1989395,0.229054725,"not",-1.199,0.229
"92","strict three way","female_canine_height","Yes",-1.05484695,-0.313610175,"confident",-1.055,-0.314
"108","strict three way","females","Yes",-0.599460955,0.00693420495000006,"not",-0.599,0.007
"172","strict three way","relative_femalecaninesize","Yes",-0.103890565,0.54739868,"not",-0.104,0.547
"236","strict three way","female_dispersal Yes minus No","Yes",-0.217197857936423,0.106479057573373,"not",-0.217,0.106
"276","strict three way","jointaggression_females Yes minus No","Yes",-0.282150355077029,0.0661317696001728,"not",-0.282,0.066
"292","strict three way","female_evictions Yes minus No","Yes",-0.335324754782128,0.0970345158394994,"not",-0.335,0.097
"300","strict three way","female_infanticide Yes minus No","Yes",-0.264310443297134,0.0475616380916511,"not",-0.264,0.048
"2921","strict three way","female_evictions Yes minus No","Yes",-0.335324754782128,0.0970345158394994,"not",-0.335,0.097
"3001","strict three way","female_infanticide Yes minus No","Yes",-0.264310443297134,0.0475616380916511,"not",-0.264,0.048
"1721","strict three way","relative_femalecaninesize","Yes",-0.103890565,0.54739868,"not",-0.104,0.547
"362","strict three way","origin provisioned minus captive","Yes",-0.2596547990942,0.158609472798685,"not",-0.26,0.159
"363","strict three way","origin wild minus captive","Yes",-0.0325692574411368,0.217495595301623,"not",-0.033,0.217
"364","strict three way","origin wild minus provisioned","Yes",-0.074679947011462,0.34574989391511,"not",-0.075,0.346
