"","outcome","continuouspredictor","phylogeny","estimate lower","estimate upper","association_present"
"1","perc_won","sexratio","No",-0.105435235,0.0179654055,"not"
"2","perc_won","sexratio","Yes",0.322265065,0.64536485,"confident"
"3","strict three way","sexratio","No",-0.59356335,0.2973684,"not"
"4","strict three way","sexratio","Yes",-0.59566624,0.35991602,"not"
"5","strict female dominance","sexratio","No",-0.522107845,0.30915264,"not"
"6","strict female dominance","sexratio","Yes",-0.57189149,0.355384525,"not"
"7","strict male dominance","sexratio","No",-0.64945073,0.60266254,"not"
"8","strict male dominance","sexratio","Yes",-1.00698745,1.06883785,"not"
"9","perc_won","SexualDimorphism_MaleWeight_over_FemaleWeight","No",-0.208296365,-0.0772726095,"confident"
"10","perc_won","SexualDimorphism_MaleWeight_over_FemaleWeight","Yes",0.195894085,0.53342869,"confident"
"11","strict three way","SexualDimorphism_MaleWeight_over_FemaleWeight","No",-0.87906965,0.0358308245000002,"not"
"12","strict three way","SexualDimorphism_MaleWeight_over_FemaleWeight","Yes",-0.82929354,0.100427475,"not"
"13","strict female dominance","SexualDimorphism_MaleWeight_over_FemaleWeight","No",-0.72637434,0.0786932935000001,"not"
"14","strict female dominance","SexualDimorphism_MaleWeight_over_FemaleWeight","Yes",-0.8214516,0.083803193,"not"
"15","strict male dominance","SexualDimorphism_MaleWeight_over_FemaleWeight","No",-0.574048315,0.599698645,"not"
"16","strict male dominance","SexualDimorphism_MaleWeight_over_FemaleWeight","Yes",-1.01257875,1.022005,"not"
"17","perc_won","CanineDimorphism","No",-0.0716548765,0.10812877,"not"
"18","perc_won","CanineDimorphism","Yes",-0.53463599,0.00772802715000004,"not"
"19","strict three way","CanineDimorphism","No",-0.541269085,0.694167615,"not"
"20","strict three way","CanineDimorphism","Yes",-0.56032299,0.759798855,"not"
"21","strict female dominance","CanineDimorphism","No",-0.4728545,0.569454625,"not"
"22","strict female dominance","CanineDimorphism","Yes",-0.51316164,0.742852965,"not"
"23","strict male dominance","CanineDimorphism","No",-0.63919521,0.6554118,"not"
"24","strict male dominance","CanineDimorphism","Yes",-1.0436114,1.24378265,"not"
"25","perc_won","female_average_relatedness","No",-0.39320022,-0.135310555,"confident"
