,outcome,continuouspredictor,phylogeny,estimate lower,estimate upper,association_present
1,perc_won,sexratio,No,0.416442305,0.50763601,confident
2,perc_won,sexratio,Yes,1.27198945,1.570382,confident
3,strict three way,sexratio,No,0.24324971,0.955014925,confident
4,strict three way,sexratio,Yes,0.18438982,0.96612675,confident
5,strict female dominance,sexratio,No,-0.209920415,0.51163747,not
6,strict female dominance,sexratio,Yes,-0.23986254,0.57137732,not
7,strict male dominance,sexratio,No,-1.4418807,-0.506216365,confident
8,strict male dominance,sexratio,Yes,-1.9487171,-0.69709422,confident
9,perc_won,SexualDimorphism_MaleWeight_over_FemaleWeight,No,-0.40382876,-0.316947625,confident
10,perc_won,SexualDimorphism_MaleWeight_over_FemaleWeight,Yes,-0.678287705,0.037974704,not
11,strict three way,SexualDimorphism_MaleWeight_over_FemaleWeight,No,-0.76055149,-0.102488875,confident
12,strict three way,SexualDimorphism_MaleWeight_over_FemaleWeight,Yes,-0.78293628,-0.11605661,confident
13,strict female dominance,SexualDimorphism_MaleWeight_over_FemaleWeight,No,-0.700301455,0.005583663,not
14,strict female dominance,SexualDimorphism_MaleWeight_over_FemaleWeight,Yes,-0.80666896,-0.037269987,confident
15,strict male dominance,SexualDimorphism_MaleWeight_over_FemaleWeight,No,-0.06262681,0.81525751,not
16,strict male dominance,SexualDimorphism_MaleWeight_over_FemaleWeight,Yes,0.000852952,1.16755895,confident
17,perc_won,CanineDimorphism,No,-1.6034988,-1.3947134,confident
18,perc_won,CanineDimorphism,Yes,-3.27542325,-2.1283613,confident
19,strict three way,CanineDimorphism,No,-1.97336345,-0.732076335,confident
20,strict three way,CanineDimorphism,Yes,-2.08986345,-0.687953145,confident
21,strict female dominance,CanineDimorphism,No,-0.96464016,0.040989538,not
22,strict female dominance,CanineDimorphism,Yes,-1.3620994,-0.042393817,confident
23,strict male dominance,CanineDimorphism,No,0.51596312,1.5897975,confident
24,strict male dominance,CanineDimorphism,Yes,0.95855502,2.70182055,confident
25,perc_won,female_average_relatedness,No,-0.537474815,-0.376059915,confident
26,perc_won,female_average_relatedness,Yes,-0.527963695,0.321218145,not
27,strict three way,female_average_relatedness,No,-1.26655885,0.080250136,not
28,strict three way,female_average_relatedness,Yes,-1.23055695,0.203619735,not
29,strict female dominance,female_average_relatedness,No,-0.98231226,0.163139375,not
30,strict female dominance,female_average_relatedness,Yes,-1.39304745,0.095780589,not
31,strict male dominance,female_average_relatedness,No,-0.477221925,0.71251565,not
32,strict male dominance,female_average_relatedness,Yes,-0.61217213,0.92267918,not
33,perc_won,Synchrony,No,-1.00137005,-0.784850355,confident
34,perc_won,Synchrony,Yes,-2.4078651,-0.97529664,confident
35,strict three way,Synchrony,No,-1.93192355,-0.170316035,confident
36,strict three way,Synchrony,Yes,-1.97718585,-0.087586886,confident
37,strict female dominance,Synchrony,No,-1.11733835,0.065595488,not
38,strict female dominance,Synchrony,Yes,-1.9183021,-0.167559925,confident
39,strict male dominance,Synchrony,No,-0.71234605,0.626935285,not
40,strict male dominance,Synchrony,Yes,-1.3056896,1.01978375,not
