"","X","outcome","continuouspredictor","phylogeny","estimate.lower","estimate.upper","association_present"
"180",180,"perc_won","SocOrgPMK P minus G","Yes",0.587,0.864,"confident"
"181",181,"perc_won","SocOrgPMK S minus G","Yes",0.474,0.831,"confident"
"182",182,"perc_won","SocOrgPMK S minus P","Yes",-0.285,0.14,"not"
"10",10,"perc_won","SexualDimorphism_MaleWeight_over_FemaleWeight","Yes",-0.678,0.038,"not"
"18",18,"perc_won","CanineDimorphism","Yes",-3.275,-2.128,"confident"
"122",122,"perc_won","homerange_overlap","Yes",-2.533,-1.426,"confident"
"338",210,"perc_won","fissionfusion Yes minus No","Yes",-0.968,-0.902,"confident"
"26",26,"perc_won","female_average_relatedness","Yes",-0.528,0.321,"not"
"90",90,"perc_won","female_canine_height","Yes",-0.356,0.371,"not"
"106",106,"perc_won","females","Yes",-1.63,-1.269,"confident"
"170",170,"perc_won","relative_femalecaninesize","Yes",-0.227,0.821,"not"
"250",250,"perc_won","female_dispersal Yes minus No","Yes",-0.451,-0.087,"confident"
"290",290,"perc_won","jointaggression_females Yes minus No","Yes",-0.825,-0.567,"confident"
"306",178,"perc_won","female_infanticide Yes minus No","Yes",0.43,0.717,"confident"
"3061",178,"perc_won","female_infanticide Yes minus No","Yes",0.43,0.717,"confident"
"1701",170,"perc_won","relative_femalecaninesize","Yes",-0.227,0.821,"not"
"330",202,"perc_won","origin wild minus captive","Yes",-0.107,0.028,"not"
"58",58,"perc_won","env_harshness","Yes",-2.77,-1.31,"confident"
"74",74,"perc_won","rainfall_annualvariation","Yes",0.767,2.053,"confident"
"66",66,"perc_won","rainfall_unpredictability","Yes",-1.184,-0.471,"confident"
"207",207,"perc_won","MatSysPMK PAN minus MON","Yes",-0.735,-0.27,"confident"
"208",208,"perc_won","MatSysPMK POL minus MON","Yes",-0.711,-0.149,"confident"
"209",209,"perc_won","MatSysPMK PRO minus MON","Yes",-0.764,-0.323,"confident"
"210",210,"perc_won","MatSysPMK POL minus PAN","Yes",-0.172,0.327,"not"
"211",211,"perc_won","MatSysPMK PRO minus PAN","Yes",-0.288,0.231,"not"
"212",212,"perc_won","MatSysPMK PRO minus POL","Yes",-0.449,0.198,"not"
"322",194,"perc_won","Strata_Wilman S minus Ar","Yes",0.559,0.894,"confident"
"138",138,"perc_won","sexualreceptivity_hours","Yes",-1.189,-0.808,"confident"
"2",2,"perc_won","sexratio","Yes",1.272,1.57,"confident"
"50",50,"perc_won","M_skew_index","Yes",-0.181,1.639,"not"
"162",162,"perc_won","relative_testes_mass","Yes",-0.462,0.382,"not"
"34",34,"perc_won","Synchrony","Yes",-2.408,-0.975,"confident"
"146",146,"perc_won","receptive_synchrony","Yes",-2.484,-1.318,"confident"
"21",2,"perc_won","sexratio","Yes",1.272,1.57,"confident"
"130",130,"perc_won","perc_aggression_mm","Yes",1.128,1.864,"confident"
"101",10,"perc_won","SexualDimorphism_MaleWeight_over_FemaleWeight","Yes",-0.678,0.038,"not"
"261",26,"perc_won","female_average_relatedness","Yes",-0.528,0.321,"not"
"901",90,"perc_won","female_canine_height","Yes",-0.356,0.371,"not"
"98",98,"perc_won","male_canine_height","Yes",-0.302,0.444,"not"
"1061",106,"perc_won","females","Yes",-1.63,-1.269,"confident"
"114",114,"perc_won","males","Yes",0,0.249,"confident"
"1702",170,"perc_won","relative_femalecaninesize","Yes",-0.227,0.821,"not"
"2501",250,"perc_won","female_dispersal Yes minus No","Yes",-0.451,-0.087,"confident"
"258",258,"perc_won","male_dispersal Yes minus No","Yes",-0.085,0.638,"not"
"268",268,"perc_won","sexbias_dispersal Female minus Both","Yes",-0.457,0.198,"not"
"270",270,"perc_won","sexbias_dispersal Male minus Female","Yes",0.042,0.652,"confident"
"2901",290,"perc_won","jointaggression_females Yes minus No","Yes",-0.825,-0.567,"confident"
"298",298,"perc_won","jointaggression_males Yes minus No","Yes",-0.616,-0.205,"confident"
"3062",178,"perc_won","female_infanticide Yes minus No","Yes",0.43,0.717,"confident"
"348",220,"perc_won","between_groupconflict Malebiased minus Femalebiased","Yes",-0.73,-0.159,"confident"
"349",221,"perc_won","between_groupconflict Unbiased minus Femalebiased","Yes",-0.602,0.156,"not"
"2681",268,"perc_won","sexbias_dispersal Female minus Both","Yes",-0.457,0.198,"not"
"269",269,"perc_won","sexbias_dispersal Male minus Both","Yes",0.046,0.417,"confident"
"2701",270,"perc_won","sexbias_dispersal Male minus Female","Yes",0.042,0.652,"confident"
"262",26,"perc_won","female_average_relatedness","Yes",-0.528,0.321,"not"
"2902",290,"perc_won","jointaggression_females Yes minus No","Yes",-0.825,-0.567,"confident"
"2981",298,"perc_won","jointaggression_males Yes minus No","Yes",-0.616,-0.205,"confident"
