"","outcome","continuouspredictor","phylogeny","estimate lower","estimate upper","association_present","estimate.lower","estimate.upper"
"180","strict three way","SocOrgPMK P minus G","Yes",0.0127386244583617,0.389571839409561,"confident",0.013,0.39
"12","strict three way","SexualDimorphism_MaleWeight_over_FemaleWeight","Yes",-0.874284335,-0.27045469,"confident",-0.874,-0.27
"20","strict three way","CanineDimorphism","Yes",-1.63035935,-0.68096475,"confident",-1.63,-0.681
"124","strict three way","homerange_overlap","Yes",-0.16556961,0.5568437,"not",-0.166,0.557
"380","strict three way","fissionfusion Yes minus No","Yes",-0.350975368165064,-0.0709669016811479,"confident",-0.351,-0.071
"28","strict three way","female_average_relatedness","Yes",-0.164627125,1.12940815,"not",-0.165,1.129
"92","strict three way","female_canine_height","Yes",-1.0424907,-0.314802315,"confident",-1.042,-0.315
"108","strict three way","females","Yes",-0.777690915,-0.13521091,"confident",-0.778,-0.135
"172","strict three way","relative_femalecaninesize","Yes",-0.0485355705,0.587246255,"not",-0.049,0.587
"236","strict three way","female_dispersal Yes minus No","Yes",-0.175736758824176,0.12882346233067,"not",-0.176,0.129
"276","strict three way","jointaggression_females Yes minus No","Yes",-0.18508607981628,0.101437354317462,"not",-0.185,0.101
"292","strict three way","female_evictions Yes minus No","Yes",-0.252252553845015,0.171701733149092,"not",-0.252,0.172
"300","strict three way","female_infanticide Yes minus No","Yes",-0.172385676552727,0.144279662387572,"not",-0.172,0.144
"2921","strict three way","female_evictions Yes minus No","Yes",-0.252252553845015,0.171701733149092,"not",-0.252,0.172
"3001","strict three way","female_infanticide Yes minus No","Yes",-0.172385676552727,0.144279662387572,"not",-0.172,0.144
"1721","strict three way","relative_femalecaninesize","Yes",-0.0485355705,0.587246255,"not",-0.049,0.587
"362","strict three way","origin provisioned minus captive","Yes",-0.288082105496819,0.157753866643696,"not",-0.288,0.158
"363","strict three way","origin wild minus captive","Yes",-0.0618506864945858,0.191734920906473,"not",-0.062,0.192
"364","strict three way","origin wild minus provisioned","Yes",-0.0919394087029845,0.337528313367428,"not",-0.092,0.338
"60","strict three way","env_harshness","Yes",-0.709811355,0.0320313745,"not",-0.71,0.032
"76","strict three way","rainfall_annualvariation","Yes",-0.45326651,0.393983605,"not",-0.453,0.394
"68","strict three way","rainfall_unpredictability","Yes",-0.47658411,0.255986985,"not",-0.477,0.256
"203","strict three way","MatSysPMK PAN minus MON","Yes",-0.291157041892791,0.135023796034294,"not",-0.291,0.135
"204","strict three way","MatSysPMK POL minus MON","Yes",-0.456861164984208,-0.0896786121708902,"confident",-0.457,-0.09
"205","strict three way","MatSysPMK PRO minus MON","Yes",-0.310255117460141,0.035999556301039,"not",-0.31,0.036
"206","strict three way","MatSysPMK POL minus PAN","Yes",-0.387323988578037,-0.00811107472074112,"confident",-0.387,-0.008
"207","strict three way","MatSysPMK PRO minus PAN","Yes",-0.241094340056191,0.119639463393863,"not",-0.241,0.12
"208","strict three way","MatSysPMK PRO minus POL","Yes",0.00953506488829759,0.270861114217511,"confident",0.01,0.271
"338","strict three way","Strata_Wilman G minus Ar","Yes",-0.333944074015197,-0.0191070942831072,"confident",-0.334,-0.019
"339","strict three way","Strata_Wilman S minus Ar","Yes",-0.246497657089808,0.0011542285530004,"not",-0.246,0.001
"340","strict three way","Strata_Wilman S minus G","Yes",-0.104169656555112,0.212713551419816,"not",-0.104,0.213
"140","strict three way","sexualreceptivity_hours","Yes",-0.44288917,0.393682555,"not",-0.443,0.394
"4","strict three way","sexratio","Yes",0.66222617,1.36471745,"confident",0.662,1.365
"52","strict three way","M_skew_index","Yes",-0.734083485,0.16507394,"not",-0.734,0.165
"164","strict three way","relative_testes_mass","Yes",-0.45313963,0.24746629,"not",-0.453,0.247
"36","strict three way","Synchrony","Yes",-0.716553005,0.267421485,"not",-0.717,0.267
"148","strict three way","receptive_synchrony","Yes",-0.158297905,0.54260255,"not",-0.158,0.543
"41","strict three way","sexratio","Yes",0.66222617,1.36471745,"confident",0.662,1.365
"132","strict three way","perc_aggression_mm","Yes",0.04045818,1.0990013,"confident",0.04,1.099
"121","strict three way","SexualDimorphism_MaleWeight_over_FemaleWeight","Yes",-0.874284335,-0.27045469,"confident",-0.874,-0.27
"281","strict three way","female_average_relatedness","Yes",-0.164627125,1.12940815,"not",-0.165,1.129
"921","strict three way","female_canine_height","Yes",-1.0424907,-0.314802315,"confident",-1.042,-0.315
"100","strict three way","male_canine_height","Yes",-1.56202155,-0.65494759,"confident",-1.562,-0.655
"1081","strict three way","females","Yes",-0.777690915,-0.13521091,"confident",-0.778,-0.135
"116","strict three way","males","Yes",-0.0140603705,0.601486205,"not",-0.014,0.601
"1722","strict three way","relative_femalecaninesize","Yes",-0.0485355705,0.587246255,"not",-0.049,0.587
"2361","strict three way","female_dispersal Yes minus No","Yes",-0.175736758824176,0.12882346233067,"not",-0.176,0.129
"244","strict three way","male_dispersal Yes minus No","Yes",0.039618176383792,0.362920452022991,"confident",0.04,0.363
"258","strict three way","sexbias_dispersal Female minus Both","Yes",-0.413459545859229,-0.0492568222911621,"confident",-0.413,-0.049
"260","strict three way","sexbias_dispersal Male minus Female","Yes",-0.0441864823968411,0.285552523160127,"not",-0.044,0.286
"2761","strict three way","jointaggression_females Yes minus No","Yes",-0.18508607981628,0.101437354317462,"not",-0.185,0.101
"284","strict three way","jointaggression_males Yes minus No","Yes",-0.159328404259171,0.108638871195596,"not",-0.159,0.109
"2922","strict three way","female_evictions Yes minus No","Yes",-0.252252553845015,0.171701733149092,"not",-0.252,0.172
"3002","strict three way","female_infanticide Yes minus No","Yes",-0.172385676552727,0.144279662387572,"not",-0.172,0.144
"2581","strict three way","sexbias_dispersal Female minus Both","Yes",-0.413459545859229,-0.0492568222911621,"confident",-0.413,-0.049
"259","strict three way","sexbias_dispersal Male minus Both","Yes",-0.268071002247581,0.051342894414406,"not",-0.268,0.051
"2601","strict three way","sexbias_dispersal Male minus Female","Yes",-0.0441864823968411,0.285552523160127,"not",-0.044,0.286
"282","strict three way","female_average_relatedness","Yes",-0.164627125,1.12940815,"not",-0.165,1.129
"2762","strict three way","jointaggression_females Yes minus No","Yes",-0.18508607981628,0.101437354317462,"not",-0.185,0.101
"2841","strict three way","jointaggression_males Yes minus No","Yes",-0.159328404259171,0.108638871195596,"not",-0.159,0.109
