"","outcome","continuouspredictor","phylogeny","estimate lower","estimate upper","association_present"
"1","perc_won","RelativeLactationDuration","No",-1.37660715,-1.27522725,"confident"
"2","perc_won","RelativeLactationDuration","Yes",-1.17774365,-0.611927825,"confident"
"3","strict three way","RelativeLactationDuration","No",-1.18388,-0.62284908,"confident"
"4","strict three way","RelativeLactationDuration","Yes",-1.3364963,-0.68662216,"confident"
"5","strict female dominance","RelativeLactationDuration","No",-1.7864741,-0.92819153,"confident"
"6","strict female dominance","RelativeLactationDuration","Yes",-2.3451942,-1.2122589,"confident"
"7","strict male dominance","RelativeLactationDuration","No",0.32951256,0.913808435,"confident"
"8","strict male dominance","RelativeLactationDuration","Yes",0.44779929,1.0724473,"confident"
"9","perc_won","Park Yes minus No","No",0.392735055328368,0.512023652984427,"confident"
"10","perc_won","Park Yes minus No","Yes",0.316152533893373,0.659870237031968,"confident"
"11","strict three way","Park Yes minus No","No",0.293225620748865,0.524072355508327,"confident"
"12","strict three way","Park Yes minus No","Yes",0.269388806610813,0.544565362304337,"confident"
"13","strict female dominance","Park Yes minus No","No",0.281294727344727,0.537341716739588,"confident"
"14","strict female dominance","Park Yes minus No","Yes",0.204177327104096,0.49848364339581,"confident"
"15","strict male dominance","Park Yes minus No","No",-0.291382214754492,-0.083413655088453,"confident"
"16","strict male dominance","Park Yes minus No","Yes",-0.496629326749818,-0.164296431459763,"confident"
"17","perc_won","maleinfanticide Yes minus No","No",-0.0882761767598056,-0.048213129422197,"confident"
"18","perc_won","maleinfanticide Yes minus No","Yes",-0.00711100280758936,0.303713684810858,"not"
"19","strict three way","maleinfanticide Yes minus No","No",-0.266663793581656,-0.0501204554722342,"confident"
"20","strict three way","maleinfanticide Yes minus No","Yes",-0.27708682061144,-0.00381159373469056,"confident"
"21","strict female dominance","maleinfanticide Yes minus No","No",-0.0567785584699022,0.130316472352403,"not"
"22","strict female dominance","maleinfanticide Yes minus No","Yes",-0.0743235211610203,0.294055103312272,"not"
"23","strict male dominance","maleinfanticide Yes minus No","No",0.133434813354147,0.367856234665359,"confident"
"24","strict male dominance","maleinfanticide Yes minus No","Yes",0.142488426454921,0.386219317164957,"confident"
"25","perc_won","AlloMaternalCare Yes minus No","No",0.0888689261603171,0.144198271216434,"confident"
"26","perc_won","AlloMaternalCare Yes minus No","Yes",-0.306289189345476,0.081954291447381,"not"
"27","strict three way","AlloMaternalCare Yes minus No","No",0.037275915405117,0.276738280399048,"confident"
"28","strict three way","AlloMaternalCare Yes minus No","Yes",-0.0258905628663542,0.272688814245715,"not"
"29","strict female dominance","AlloMaternalCare Yes minus No","No",-0.0556668515469873,0.166413976873236,"not"
"30","strict female dominance","AlloMaternalCare Yes minus No","Yes",-0.282552949914007,0.08628842817985,"not"
"31","strict male dominance","AlloMaternalCare Yes minus No","No",-0.342876916542184,-0.115906045391521,"confident"
"32","strict male dominance","AlloMaternalCare Yes minus No","Yes",-0.449637470697429,-0.14767242232007,"confident"
