"","outcome","continuouspredictor","phylogeny","estimate_lower","estimate_upper","association_present"
"66","perc_won","sexualreceptivity_hours","Yes",-2.386,-1.591,"confident"
"74","perc_won","sexratio","Yes",0.612,0.854,"confident"
"82","perc_won","M_skew_index","Yes",0.213,0.96,"confident"
"90","perc_won","Synchrony","Yes",-2.14,-1.026,"confident"
"98","perc_won","relative_testes_mass","Yes",1.149,1.948,"confident"
"114","perc_won","sexratio","Yes",0.62,0.856,"confident"
"199","perc_won","MatSysPMK PAN minus MON","Yes",-0.568,-0.171,"confident"
"200","perc_won","MatSysPMK POL minus MON","Yes",-0.819,-0.496,"confident"
"201","perc_won","MatSysPMK PRO minus MON","Yes",-0.854,-0.685,"confident"
"202","perc_won","MatSysPMK POL minus PAN","Yes",-0.523,-0.089,"confident"
"203","perc_won","MatSysPMK PRO minus PAN","Yes",-0.594,-0.239,"confident"
"204","perc_won","MatSysPMK PRO minus POL","Yes",-0.272,0.037,"not"
"244","perc_won","Strata_Wilman G minus Ar","Yes",-0.947,-0.811,"confident"
"245","perc_won","Strata_Wilman S minus Ar","Yes",-0.807,-0.536,"confident"
"246","perc_won","Strata_Wilman S minus G","Yes",0.063,0.373,"confident"
