"","continuouspredictor","perc_won","strict three way","strict female dominance","strict male dominance"
"1","sexualreceptivity_hours","confident","confident","confident","confident"
"2","sexratio","confident","confident","confident","confident"
"3","M_skew_index","confident","confident","not","confident"
"4","Synchrony","confident","confident","not","confident"
"5","relative_testes_mass","confident","not","confident","confident"
"6","MatSysPMK PAN minus MON","confident","not","not","not"
"7","MatSysPMK POL minus MON","confident","confident","confident","confident"
"8","MatSysPMK PRO minus MON","confident","confident","confident","confident"
"9","MatSysPMK POL minus PAN","confident","confident","not","confident"
"10","MatSysPMK PRO minus PAN","confident","not","not","not"
"11","MatSysPMK PRO minus POL","not","confident","not","confident"
"12","Strata_Wilman G minus Ar","confident","confident","confident","confident"
"13","Strata_Wilman S minus Ar","confident","confident","confident","confident"
"14","Strata_Wilman S minus G","confident","not","not","not"
