"","outcome","continuouspredictor","phylogeny","estimate_lower","estimate_upper","association_present"
"68","strict three way","sexualreceptivity_hours","Yes",-1.664,-0.883,"confident"
"76","strict three way","sexratio","Yes",0.844,1.4,"confident"
"84","strict three way","M_skew_index","Yes",-0.773,-0.062,"confident"
"92","strict three way","Synchrony","Yes",-0.973,-0.127,"confident"
"100","strict three way","relative_testes_mass","Yes",-0.579,0.15,"not"
"116","strict three way","sexratio","Yes",0.843,1.397,"confident"
"211","strict three way","MatSysPMK PAN minus MON","Yes",-0.339,0.017,"not"
"212","strict three way","MatSysPMK POL minus MON","Yes",-0.568,-0.28,"confident"
"213","strict three way","MatSysPMK PRO minus MON","Yes",-0.376,-0.1,"confident"
"214","strict three way","MatSysPMK POL minus PAN","Yes",-0.435,-0.092,"confident"
"215","strict three way","MatSysPMK PRO minus PAN","Yes",-0.238,0.091,"not"
"216","strict three way","MatSysPMK PRO minus POL","Yes",0.068,0.315,"confident"
"250","strict three way","Strata_Wilman G minus Ar","Yes",-0.52,-0.239,"confident"
"251","strict three way","Strata_Wilman S minus Ar","Yes",-0.445,-0.185,"confident"
"252","strict three way","Strata_Wilman S minus G","Yes",-0.106,0.23,"not"
