outcome,continuouspredictor,phylogeny,contrast_lower,contrast_upper,association_present
perc_won,SexualDimorphism_MaleWeight_over_FemaleWeight,No,-0.74972666,-0.63508857,confident
perc_won,SexualDimorphism_MaleWeight_over_FemaleWeight,Yes,-1.58417385,-1.109439,confident
strict three way,SexualDimorphism_MaleWeight_over_FemaleWeight,No,-0.948119565,-0.35964157,confident
strict three way,SexualDimorphism_MaleWeight_over_FemaleWeight,Yes,-0.95802244,-0.328046155,confident
strict female dominance,SexualDimorphism_MaleWeight_over_FemaleWeight,No,-1.0780117,-0.010988432,confident
strict female dominance,SexualDimorphism_MaleWeight_over_FemaleWeight,Yes,-1.9611073,-0.27503822,confident
strict male dominance,SexualDimorphism_MaleWeight_over_FemaleWeight,No,0.293532955,0.794907105,confident
strict male dominance,SexualDimorphism_MaleWeight_over_FemaleWeight,Yes,0.289145035,0.898118565,confident
perc_won,CanineDimorphism,No,-1.5392854,-1.3649178,confident
perc_won,CanineDimorphism,Yes,-1.923634,-1.15455085,confident
strict three way,CanineDimorphism,No,-1.39811365,-0.646521705,confident
strict three way,CanineDimorphism,Yes,-1.3582382,-0.58828735,confident
strict female dominance,CanineDimorphism,No,-0.99254108,0.070139415,not
strict female dominance,CanineDimorphism,Yes,-1.7519088,-0.16557089,confident
strict male dominance,CanineDimorphism,No,0.498294505,1.2132885,confident
strict male dominance,CanineDimorphism,Yes,0.57755688,1.3895541,confident
perc_won,homerange_overlap,No,-0.56457122,-0.44710536,confident
perc_won,homerange_overlap,Yes,-0.6618781,-0.136762145,confident
strict three way,homerange_overlap,No,-0.4760338,0.185246145,not
strict three way,homerange_overlap,Yes,-0.4865629,0.196204135,not
strict female dominance,homerange_overlap,No,-0.57733282,0.482375405,not
strict female dominance,homerange_overlap,Yes,-0.959778235,0.629539205,not
strict male dominance,homerange_overlap,No,-0.1672291,0.44645914,not
strict male dominance,homerange_overlap,Yes,-0.201772485,0.481883865,not
perc_won,females,No,-0.487833565,-0.380680175,confident
perc_won,females,Yes,-0.5194343,-0.181574475,confident
strict three way,females,No,-0.467917525,0.049999155,not
strict three way,females,Yes,-0.52750821,0.049431144,not
strict female dominance,females,No,-0.56627114,0.370844345,not
strict female dominance,females,Yes,-0.93071588,0.389176225,not
strict male dominance,females,No,-0.078731788,0.45872987,not
strict male dominance,females,Yes,-0.05887087,0.51698681,not
perc_won,env_harshness,No,-0.62199417,-0.48107881,confident
perc_won,env_harshness,Yes,-0.4032492,0.349765225,not
strict three way,env_harshness,No,-0.854647085,-0.136629065,confident
strict three way,env_harshness,Yes,-0.92379455,-0.058088198,confident
strict female dominance,env_harshness,No,-0.791908135,0.43664441,not
strict female dominance,env_harshness,Yes,-1.45973505,0.49707833,not
strict male dominance,env_harshness,No,0.092182294,0.78121381,confident
strict male dominance,env_harshness,Yes,0.076206594,0.87740093,confident
perc_won,rainfall_annualvariation,No,-0.11777382,0.001217957,not
perc_won,rainfall_annualvariation,Yes,-0.50602221,0.340835985,not
strict three way,rainfall_annualvariation,No,0.066878992,0.809502705,confident
strict three way,rainfall_annualvariation,Yes,0.017914359,0.846028975,confident
strict female dominance,rainfall_annualvariation,No,-0.46931891,0.701543485,not
strict female dominance,rainfall_annualvariation,Yes,-0.632906955,1.2462878,not
strict male dominance,rainfall_annualvariation,No,-0.72930082,-0.037043479,confident
strict male dominance,rainfall_annualvariation,Yes,-0.86574911,-0.031855481,confident
perc_won,rainfall_unpredictability,No,-0.39485199,-0.26969045,confident
perc_won,rainfall_unpredictability,Yes,0.08741073,1.06727485,confident
strict three way,rainfall_unpredictability,No,-0.51474985,0.16983982,not
strict three way,rainfall_unpredictability,Yes,-0.624785645,0.1712599,not
strict female dominance,rainfall_unpredictability,No,-0.593952345,0.5370132,not
strict female dominance,rainfall_unpredictability,Yes,-1.0608115,0.7360174,not
strict male dominance,rainfall_unpredictability,No,-0.14388501,0.482647445,not
strict male dominance,rainfall_unpredictability,Yes,-0.226496815,0.59807596,not
perc_won,relative_femalecaninesize,No,-0.63590352,-0.501786115,confident
perc_won,relative_femalecaninesize,Yes,-1.32187135,-0.48844776,confident
strict three way,relative_femalecaninesize,No,-0.68312401,-0.072289139,confident
strict three way,relative_femalecaninesize,Yes,-0.803126235,-0.093294643,confident
strict female dominance,relative_femalecaninesize,No,-1.1076769,-0.053407106,confident
strict female dominance,relative_femalecaninesize,Yes,-1.9320254,-0.24372288,confident
strict male dominance,relative_femalecaninesize,No,-0.03736073,0.552613755,not
strict male dominance,relative_femalecaninesize,Yes,0.020203114,0.72521975,confident
perc_won,sexualreceptivity_hours,No,0.46167847,0.63769441,confident
perc_won,sexualreceptivity_hours,Yes,-0.047047437,0.42770852,not
strict three way,sexualreceptivity_hours,No,-0.17805904,0.61115984,not
strict three way,sexualreceptivity_hours,Yes,-0.34187926,0.5086049,not
strict female dominance,sexualreceptivity_hours,No,-0.63831238,0.315688895,not
strict female dominance,sexualreceptivity_hours,Yes,-1.4115446,0.090469355,not
strict male dominance,sexualreceptivity_hours,No,-0.56738158,0.123358195,not
strict male dominance,sexualreceptivity_hours,Yes,-0.58178245,0.2756272,not
perc_won,sexratio,No,0.27857677,0.37177978,confident
perc_won,sexratio,Yes,0.226532605,0.49967675,confident
strict three way,sexratio,No,0.12415074,0.676176325,confident
strict three way,sexratio,Yes,0.214838125,0.7997589,confident
strict female dominance,sexratio,No,-0.4662579,0.475519305,not
strict female dominance,sexratio,Yes,-0.70818334,0.56975205,not
strict male dominance,sexratio,No,-0.67284021,-0.132103265,confident
strict male dominance,sexratio,Yes,-0.912062465,-0.273296675,confident
perc_won,M_skew_index,No,-0.36468095,-0.222937125,confident
perc_won,M_skew_index,Yes,-1.46407305,-0.84331535,confident
strict three way,M_skew_index,No,-0.7777792,0.068395814,not
strict three way,M_skew_index,Yes,-0.873274865,0.090891492,not
strict female dominance,M_skew_index,No,-0.50799979,0.64038418,not
strict female dominance,M_skew_index,Yes,-0.67603885,1.2225979,not
strict male dominance,M_skew_index,No,-0.044780117,0.75373868,not
