outcome,continuouspredictor,phylogeny,contrast_lower,contrast_upper,association_present
perc_won,SexualDimorphism_MaleWeight_over_FemaleWeight,No,-0.43083564,-0.340593655,confident
perc_won,SexualDimorphism_MaleWeight_over_FemaleWeight,Yes,-1.98724275,-1.3899624,not
strict three way,SexualDimorphism_MaleWeight_over_FemaleWeight,No,-0.85122347,-0.152374755,confident
strict three way,SexualDimorphism_MaleWeight_over_FemaleWeight,Yes,-0.85351641,-0.168720385,confident
strict female dominance,SexualDimorphism_MaleWeight_over_FemaleWeight,No,-0.73943735,-0.080212727,confident
strict female dominance,SexualDimorphism_MaleWeight_over_FemaleWeight,Yes,-0.84766326,-0.076999181,confident
strict male dominance,SexualDimorphism_MaleWeight_over_FemaleWeight,No,0.04186107,0.93933653,confident
strict male dominance,SexualDimorphism_MaleWeight_over_FemaleWeight,Yes,0.08803298,1.28290035,confident
perc_won,CanineDimorphism,No,-1.79499605,-1.5759845,not
perc_won,CanineDimorphism,Yes,-4.02538765,-2.59075635,not
strict three way,CanineDimorphism,No,-1.85462605,-0.652720065,not
strict three way,CanineDimorphism,Yes,-1.9244216,-0.61763058,not
strict female dominance,CanineDimorphism,No,-0.93609022,-0.019742586,confident
strict female dominance,CanineDimorphism,Yes,-1.2835725,-0.097931366,confident
strict male dominance,CanineDimorphism,No,0.53552737,1.5674105,confident
strict male dominance,CanineDimorphism,Yes,0.99855079,2.7058035,not
perc_won,homerange_overlap,No,0.21897356,0.33201221,confident
perc_won,homerange_overlap,Yes,-2.57712585,-1.43116315,not
strict three way,homerange_overlap,No,-0.35502224,0.407864045,confident
strict three way,homerange_overlap,Yes,-0.40949199,0.46211682,confident
strict female dominance,homerange_overlap,No,-0.5285359,0.240410725,confident
strict female dominance,homerange_overlap,Yes,-0.66879958,0.298974325,confident
strict male dominance,homerange_overlap,No,-0.79568301,0.13911777,confident
strict male dominance,homerange_overlap,Yes,-1.0990509,0.089548127,confident
perc_won,females,No,-0.42305421,-0.340065945,confident
perc_won,females,Yes,-0.91307125,-0.602795255,confident
strict three way,females,No,-0.78719833,-0.036080477,confident
strict three way,females,Yes,-0.73293084,0.091067704,confident
strict female dominance,females,No,-0.43958948,0.201623135,confident
strict female dominance,females,Yes,-0.43319394,0.358457255,confident
strict male dominance,females,No,0.29639149,1.1053369,confident
strict male dominance,females,Yes,0.33260813,1.37206255,confident
perc_won,env_harshness,No,0.39368645,0.53624093,confident
perc_won,env_harshness,Yes,-1.36603755,-0.633066815,confident
strict three way,env_harshness,No,-0.01829947,0.92379689,confident
strict three way,env_harshness,Yes,-0.34610834,0.77466679,confident
strict female dominance,env_harshness,No,-0.18488645,0.62846031,confident
strict female dominance,env_harshness,Yes,-0.51925444,0.59794813,confident
strict male dominance,env_harshness,No,-1.21005145,-0.066963316,confident
strict male dominance,env_harshness,Yes,-1.89139105,-0.064114615,confident
perc_won,rainfall_annualvariation,No,0.02936454,0.157996985,confident
perc_won,rainfall_annualvariation,Yes,0.34026744,0.853986245,confident
strict three way,rainfall_annualvariation,No,-0.3450148,0.53984493,confident
strict three way,rainfall_annualvariation,Yes,-0.15546809,0.89031987,confident
strict female dominance,rainfall_annualvariation,No,-0.2931373,0.555842425,confident
strict female dominance,rainfall_annualvariation,Yes,-0.1569093,0.94629525,confident
strict male dominance,rainfall_annualvariation,No,-0.48221391,0.58302765,confident
strict male dominance,rainfall_annualvariation,Yes,-1.09656275,0.680991325,confident
perc_won,rainfall_unpredictability,No,-0.25923823,-0.134928,confident
perc_won,rainfall_unpredictability,Yes,-1.92879305,-0.852034315,not
strict three way,rainfall_unpredictability,No,-1.0124797,-0.077542835,confident
strict three way,rainfall_unpredictability,Yes,-1.2138625,-0.104271,confident
strict female dominance,rainfall_unpredictability,No,-1.0826536,-0.098343182,confident
strict female dominance,rainfall_unpredictability,Yes,-1.4456645,-0.20331462,confident
strict male dominance,rainfall_unpredictability,No,-0.53891214,0.524054535,confident
strict male dominance,rainfall_unpredictability,Yes,-0.74901343,0.87638701,confident
perc_won,relative_femalecaninesize,No,0.75803034,0.98469455,confident
perc_won,relative_femalecaninesize,Yes,0.02522331,1.4889628,confident
strict three way,relative_femalecaninesize,No,-0.2770972,0.83903024,confident
strict three way,relative_femalecaninesize,Yes,-0.20728283,0.856413135,confident
strict female dominance,relative_femalecaninesize,No,-0.34637682,0.61259445,confident
strict female dominance,relative_femalecaninesize,Yes,-0.41839637,0.765406365,confident
strict male dominance,relative_femalecaninesize,No,-1.01184705,0.202095145,confident
strict male dominance,relative_femalecaninesize,Yes,-1.9619264,-0.073265047,confident
perc_won,sexualreceptivity_hours,No,-1.15039055,-0.89590551,not
perc_won,sexualreceptivity_hours,Yes,-1.17993085,-0.57744307,confident
strict three way,sexualreceptivity_hours,No,-2.52314155,-0.83847683,not
strict three way,sexualreceptivity_hours,Yes,-2.4963119,-0.458044455,not
strict female dominance,sexualreceptivity_hours,No,-1.4557962,-0.346056325,confident
strict female dominance,sexualreceptivity_hours,Yes,-2.37192825,-0.448004435,not
strict male dominance,sexualreceptivity_hours,No,-0.69356458,0.627989155,confident
strict male dominance,sexualreceptivity_hours,Yes,-1.24337505,0.92375839,confident
perc_won,sexratio,No,0.45997209,0.547953245,confident
perc_won,sexratio,Yes,0.68037112,1.01076265,confident
strict three way,sexratio,No,0.37472996,1.09724155,confident
strict three way,sexratio,Yes,0.40761323,1.23383275,confident
strict female dominance,sexratio,No,0.01779756,0.68724151,confident
strict female dominance,sexratio,Yes,0.06159176,0.873741895,confident
strict male dominance,sexratio,No,-1.4172153,-0.52326621,confident
strict male dominance,sexratio,Yes,-1.89619005,-0.678072635,not
perc_won,M_skew_index,No,-0.02633241,0.821976485,confident
perc_won,M_skew_index,Yes,-0.45864474,1.37816385,confident
strict three way,M_skew_index,No,-0.70337994,1.59934105,confident
strict three way,M_skew_index,Yes,-0.83731921,1.53341285,confident
strict female dominance,M_skew_index,No,-0.53421296,0.79575318,confident
strict female dominance,M_skew_index,Yes,-0.73242809,1.5296911,confident
strict male dominance,M_skew_index,No,-0.71480279,0.68026924,confident
strict male dominance,M_skew_index,Yes,-1.32244925,1.0721689,confident
perc_won,Synchrony,No,-0.56151043,-0.341997095,confident
perc_won,Synchrony,Yes,-2.2241484,-0.570003925,not
strict three way,Synchrony,No,-1.9593648,-0.27429137,confident
strict three way,Synchrony,Yes,-2.2647019,-0.296344615,confident
strict female dominance,Synchrony,No,-1.19597025,-0.007680449,confident
strict female dominance,Synchrony,Yes,-2.2562239,-0.25596687,confident
strict male dominance,Synchrony,No,-0.67850526,0.62377123,confident
strict male dominance,Synchrony,Yes,-1.2060935,0.96869078,confident
perc_won,relative_testes_mass,No,-0.43579587,-0.27876372,confident
perc_won,relative_testes_mass,Yes,-0.15442052,1.06976465,confident
strict three way,relative_testes_mass,No,-0.76641737,0.25968478,confident
strict three way,relative_testes_mass,Yes,-0.84407041,0.336613575,confident
strict female dominance,relative_testes_mass,No,-0.59535749,0.360595795,confident
strict female dominance,relative_testes_mass,Yes,-0.72927493,0.49663582,confident
strict male dominance,relative_testes_mass,No,-0.26834905,0.903436725,confident
strict male dominance,relative_testes_mass,Yes,-0.1673947,1.6001537,confident
perc_won,female_average_relatedness,No,-0.73744343,-0.564424575,confident
perc_won,female_average_relatedness,Yes,-0.62141089,0.30705498,confident
strict three way,female_average_relatedness,No,-1.43017105,-0.139301685,confident
strict three way,female_average_relatedness,Yes,-1.28991805,0.12602752,confident
strict female dominance,female_average_relatedness,No,-1.09267225,0.03921781,confident
strict female dominance,female_average_relatedness,Yes,-1.4909825,0.01974163,confident
strict male dominance,female_average_relatedness,No,-0.39824187,0.737906955,confident
strict male dominance,female_average_relatedness,Yes,-0.5710461,0.968522535,confident
perc_won,perc_aggression_mm,No,0.39017264,0.518444885,confident
perc_won,perc_aggression_mm,Yes,-0.26090073,0.081856459,confident
strict three way,perc_aggression_mm,No,0.31823429,1.50929255,confident
strict three way,perc_aggression_mm,Yes,0.30934238,1.48388425,confident
strict female dominance,perc_aggression_mm,No,0.17310931,1.1794126,confident
strict female dominance,perc_aggression_mm,Yes,0.35714778,1.71078015,confident
strict male dominance,perc_aggression_mm,No,-0.88186312,0.18266424,confident
strict male dominance,perc_aggression_mm,Yes,-1.3511161,0.168073125,confident
perc_won,males,No,-0.12033193,-0.037557272,confident
perc_won,males,Yes,-0.26386219,0.046203875,confident
strict three way,males,No,-0.19709168,0.47307812,confident
strict three way,males,Yes,-0.1253468,0.708539905,confident
strict female dominance,males,No,-0.15803919,0.46642221,confident
strict female dominance,males,Yes,-0.12347712,0.70034711,confident
strict male dominance,males,No,-0.40014285,0.44435118,confident
strict male dominance,males,Yes,-0.69045797,0.494914185,confident
perc_won,SocOrgPMK P minus G,No,0.16506558,0.245596202,confident
perc_won,SocOrgPMK S minus G,No,0.14157846,0.208629453,confident
perc_won,SocOrgPMK S minus P,No,-0.07114304,0.006643455,confident
perc_won,SocOrgPMK P minus G,Yes,0.60499779,0.854781353,confident
perc_won,SocOrgPMK S minus G,Yes,-0.04557229,0.501951791,confident
perc_won,SocOrgPMK S minus P,Yes,-0.80002351,-0.263297402,confident
strict three way,SocOrgPMK P minus G,No,-0.0275798,0.305415188,confident
strict three way,SocOrgPMK S minus G,No,-0.0783696,0.250150488,confident
strict three way,SocOrgPMK S minus P,No,-0.24415056,0.139770307,confident
strict three way,SocOrgPMK P minus G,Yes,-0.07180122,0.28554073,confident
strict three way,SocOrgPMK S minus G,Yes,-0.15565198,0.209075151,confident
strict three way,SocOrgPMK S minus P,Yes,-0.28743996,0.125899199,confident
strict female dominance,SocOrgPMK P minus G,No,-0.03191679,0.295069059,confident
strict female dominance,SocOrgPMK S minus G,No,-0.09578671,0.240381297,confident
strict female dominance,SocOrgPMK S minus P,No,-0.26546942,0.135705184,confident
strict female dominance,SocOrgPMK P minus G,Yes,-0.08279948,0.276781448,confident
strict female dominance,SocOrgPMK S minus G,Yes,-0.16450185,0.216578627,confident
