outcome,continuouspredictor,phylogeny,estimate_lower,estimate_upper,association_present
perc_won,SexualDimorphism_MaleWeight_over_FemaleWeight,No,-0.53071496,-0.44,confident
perc_won,SexualDimorphism_MaleWeight_over_FemaleWeight,Yes,-1.0669439,-0.35,confident
strict three way,SexualDimorphism_MaleWeight_over_FemaleWeight,No,-0.823824915,-0.33,confident
strict three way,SexualDimorphism_MaleWeight_over_FemaleWeight,Yes,-0.89547747,-0.34,confident
strict female dominance,SexualDimorphism_MaleWeight_over_FemaleWeight,No,-0.85351447,0.12,not
strict female dominance,SexualDimorphism_MaleWeight_over_FemaleWeight,Yes,-1.40471385,-0.03,confident
strict male dominance,SexualDimorphism_MaleWeight_over_FemaleWeight,No,0.299934155,0.77,confident
strict male dominance,SexualDimorphism_MaleWeight_over_FemaleWeight,Yes,0.31025194,0.85,confident
perc_won,CanineDimorphism,No,-1.4190011,-1.25,confident
perc_won,CanineDimorphism,Yes,-0.99513433,-0.05,confident
strict three way,CanineDimorphism,No,-1.3870586,-0.66,confident
strict three way,CanineDimorphism,Yes,-1.605892,-0.74,confident
strict female dominance,CanineDimorphism,No,-0.903469045,0.14,not
strict female dominance,CanineDimorphism,Yes,-1.755325,-0.17,confident
strict male dominance,CanineDimorphism,No,0.56013614,1.25,confident
strict male dominance,CanineDimorphism,Yes,0.735831585,1.65,confident
perc_won,homerange_overlap,No,-0.27147799,-0.17,confident
perc_won,homerange_overlap,Yes,-0.740950715,-0.11,confident
strict three way,homerange_overlap,No,-0.33724247,0.28,not
strict three way,homerange_overlap,Yes,-0.35228094,0.25,not
strict female dominance,homerange_overlap,No,-0.32911939,0.83,not
strict female dominance,homerange_overlap,Yes,-0.381157675,1.58,not
strict male dominance,homerange_overlap,No,-0.221817035,0.35,not
strict male dominance,homerange_overlap,Yes,-0.24200129,0.4,not
perc_won,females,No,-0.48252377,-0.39,confident
perc_won,females,Yes,-0.68942974,-0.36,confident
strict three way,females,No,-0.615151865,-0.12,confident
strict three way,females,Yes,-0.63069409,-0.09,confident
strict female dominance,females,No,-0.54936508,0.4,not
strict female dominance,females,Yes,-0.83725631,0.36,not
strict male dominance,females,No,0.117100425,0.59,confident
strict male dominance,females,Yes,0.093899522,0.63,confident
perc_won,env_harshness,No,-0.382621245,-0.27,confident
perc_won,env_harshness,Yes,0.230036175,1.02,confident
strict three way,env_harshness,No,-0.77364756,-0.1,confident
strict three way,env_harshness,Yes,-0.705324315,0.02,not
strict female dominance,env_harshness,No,-0.752327385,0.45,not
strict female dominance,env_harshness,Yes,-1.4435141,0.6,not
strict male dominance,env_harshness,No,0.080386095,0.66,confident
strict male dominance,env_harshness,Yes,-0.025602706,0.71,not
perc_won,rainfall_annualvariation,No,-0.236695755,-0.13,confident
perc_won,rainfall_annualvariation,Yes,-0.404134935,0.17,not
strict three way,rainfall_annualvariation,No,-0.086443095,0.55,not
strict three way,rainfall_annualvariation,Yes,-0.321892715,0.52,not
strict female dominance,rainfall_annualvariation,No,-0.44610177,0.7,not
strict female dominance,rainfall_annualvariation,Yes,-0.673083975,1.28,not
strict male dominance,rainfall_annualvariation,No,-0.51561443,0.1,not
strict male dominance,rainfall_annualvariation,Yes,-0.473862445,0.36,not
perc_won,rainfall_unpredictability,No,-0.097909538,0.01,not
perc_won,rainfall_unpredictability,Yes,0.688641705,1.4,confident
strict three way,rainfall_unpredictability,No,-0.46033143,0.19,not
strict three way,rainfall_unpredictability,Yes,-0.395110575,0.36,not
strict female dominance,rainfall_unpredictability,No,-0.599845285,0.5,not
strict female dominance,rainfall_unpredictability,Yes,-1.01959,0.87,not
strict male dominance,rainfall_unpredictability,No,-0.18040885,0.41,not
strict male dominance,rainfall_unpredictability,Yes,-0.36628095,0.39,not
perc_won,relative_femalecaninesize,No,-0.507878055,-0.38,confident
perc_won,relative_femalecaninesize,Yes,-0.753229605,0.32,not
strict three way,relative_femalecaninesize,No,-0.648758485,-0.05,confident
strict three way,relative_femalecaninesize,Yes,-0.78474051,-0.01,confident
strict female dominance,relative_femalecaninesize,No,-1.0441954,-0.02,confident
strict female dominance,relative_femalecaninesize,Yes,-1.83844315,-0.22,confident
strict male dominance,relative_femalecaninesize,No,-0.037823936,0.54,not
strict male dominance,relative_femalecaninesize,Yes,-0.11000576,0.69,not
perc_won,sexualreceptivity_hours,No,0.43381136,0.58,confident
perc_won,sexualreceptivity_hours,Yes,-0.022138011,0.92,not
strict three way,sexualreceptivity_hours,No,-0.214133195,0.5,not
strict three way,sexualreceptivity_hours,Yes,-0.300287375,0.5,not
strict female dominance,sexualreceptivity_hours,No,-0.634705765,0.34,not
strict female dominance,sexualreceptivity_hours,Yes,-1.21845765,0.26,not
strict male dominance,sexualreceptivity_hours,No,-0.482698265,0.15,not
strict male dominance,sexualreceptivity_hours,Yes,-0.551392295,0.27,not
perc_won,sexratio,No,0.351486755,0.44,confident
perc_won,sexratio,Yes,0.40446599,0.64,confident
strict three way,sexratio,No,0.312728065,0.82,confident
strict three way,sexratio,Yes,0.35916176,0.88,confident
strict female dominance,sexratio,No,-0.35884411,0.56,not
strict female dominance,sexratio,Yes,-0.41053305,0.74,not
strict male dominance,sexratio,No,-0.83034181,-0.31,confident
strict male dominance,sexratio,Yes,-0.927764185,-0.35,confident
perc_won,M_skew_index,No,-0.363953,-0.23,confident
perc_won,M_skew_index,Yes,-1.4878798,-0.88,confident
strict three way,M_skew_index,No,-0.79773052,0.05,not
strict three way,M_skew_index,Yes,-0.87277395,0.04,not
strict female dominance,M_skew_index,No,-0.528003175,0.65,not
strict female dominance,M_skew_index,Yes,-0.67491157,1.02,not
strict male dominance,M_skew_index,No,-0.056701724,0.77,not
strict male dominance,M_skew_index,Yes,-0.00678003,1.03,not
perc_won,Synchrony,No,-0.560635885,-0.42,confident
perc_won,Synchrony,Yes,-1.43520765,-0.71,confident
strict three way,Synchrony,No,-0.49004373,0.14,not
strict three way,Synchrony,Yes,-0.57906441,0.24,not
strict female dominance,Synchrony,No,-0.12286078,0.81,not
strict female dominance,Synchrony,Yes,-0.180807235,1.18,not
strict male dominance,Synchrony,No,-0.085075809,0.58,not
strict male dominance,Synchrony,Yes,-0.12669747,0.66,not
perc_won,relative_testes_mass,No,-0.152240145,-0.04,confident
perc_won,relative_testes_mass,Yes,-0.989810335,-0.01,confident
strict three way,relative_testes_mass,No,-0.55319091,0.04,not
strict three way,relative_testes_mass,Yes,-0.526430865,0.13,not
strict female dominance,relative_testes_mass,No,-0.7364958,0.22,not
strict female dominance,relative_testes_mass,Yes,-1.18255385,0.16,not
strict male dominance,relative_testes_mass,No,-0.103315105,0.49,not
strict male dominance,relative_testes_mass,Yes,-0.141045295,0.5,not
perc_won,female_average_relatedness,No,-0.15076029,-0.01,confident
perc_won,female_average_relatedness,Yes,1.12739515,1.94,confident
strict three way,female_average_relatedness,No,-0.23874592,0.88,not
strict three way,female_average_relatedness,Yes,0.016062937,1.45,confident
strict female dominance,female_average_relatedness,No,-0.706984505,0.65,not
strict female dominance,female_average_relatedness,Yes,-1.22031315,1.03,not
strict male dominance,female_average_relatedness,No,-0.69948166,0.23,not
strict male dominance,female_average_relatedness,Yes,-1.3834875,0,not
perc_won,perc_aggression_mm,No,0.44655616,0.54,confident
perc_won,perc_aggression_mm,Yes,-0.25380625,0.03,not
strict three way,perc_aggression_mm,No,0.449360775,1.48,confident
strict three way,perc_aggression_mm,Yes,0.486482125,1.54,confident
strict female dominance,perc_aggression_mm,No,-0.64058659,0.55,not
strict female dominance,perc_aggression_mm,Yes,-1.22312265,0.87,not
strict male dominance,perc_aggression_mm,No,-1.15917575,-0.35,confident
strict male dominance,perc_aggression_mm,Yes,-1.55932065,-0.5,confident
perc_won,males,No,-0.13829239,-0.05,confident
perc_won,males,Yes,-0.011402877,0.24,not
strict three way,males,No,-0.182878525,0.29,not
strict three way,males,Yes,-0.159772235,0.35,not
strict female dominance,males,No,-0.518885105,0.43,not
strict female dominance,males,Yes,-0.720634475,0.52,not
strict male dominance,males,No,-0.288498005,0.19,not
strict male dominance,males,Yes,-0.370831875,0.16,not
perc_won,SocOrgPMK P minus G,No,0.134175252,0.3,confident
perc_won,SocOrgPMK P minus G,Yes,-0.103428063,0.57,not
strict three way,SocOrgPMK P minus G,No,0.085122973,0.46,confident
strict three way,SocOrgPMK P minus G,Yes,0.057547907,0.45,confident
strict female dominance,SocOrgPMK P minus G,No,0.167083006,0.47,confident
strict female dominance,SocOrgPMK P minus G,Yes,-0.088579904,0.37,not
strict male dominance,SocOrgPMK P minus G,No,-0.315601105,0.01,not
strict male dominance,SocOrgPMK P minus G,Yes,-0.396851311,-0.01,confident
perc_won,fissionfusion Yes minus No,No,-0.007293431,0.04,not
perc_won,fissionfusion Yes minus No,Yes,-0.591733454,-0.17,confident
strict three way,fissionfusion Yes minus No,No,-0.230036019,0.03,not
strict three way,fissionfusion Yes minus No,Yes,-0.280430136,0,not
strict female dominance,fissionfusion Yes minus No,No,0.013392344,0.18,confident
strict female dominance,fissionfusion Yes minus No,Yes,-0.272849855,0.18,not
strict male dominance,fissionfusion Yes minus No,No,-0.028318639,0.23,not
strict male dominance,fissionfusion Yes minus No,Yes,0.0107295,0.28,confident
perc_won,female_evictions Yes minus No,No,-0.006127301,0.08,not
perc_won,female_evictions Yes minus No,Yes,0.267941973,0.59,confident
strict three way,female_evictions Yes minus No,No,-0.168248908,0.22,not
strict three way,female_evictions Yes minus No,Yes,-0.21960284,0.19,not
strict female dominance,female_evictions Yes minus No,No,0.057652078,0.34,confident
strict female dominance,female_evictions Yes minus No,Yes,-0.192182341,0.31,not
strict male dominance,female_evictions Yes minus No,No,-0.252338586,0.07,not
strict male dominance,female_evictions Yes minus No,Yes,-0.198846941,0.21,not
perc_won,origin wild minus captive,No,-0.011168963,0.04,not
perc_won,origin wild minus captive,Yes,0.071358786,0.23,confident
strict three way,origin wild minus captive,No,-0.160904632,0.05,not
strict three way,origin wild minus captive,Yes,-0.162743555,0.06,not
strict female dominance,origin wild minus captive,No,-0.15809297,-0.02,confident
strict female dominance,origin wild minus captive,Yes,-0.363155089,0.03,not
strict male dominance,origin wild minus captive,No,-0.081329791,0.14,not
strict male dominance,origin wild minus captive,Yes,-0.100102256,0.14,not
perc_won,female_infanticide Yes minus No,No,-0.087652256,-0.03,confident
perc_won,female_infanticide Yes minus No,Yes,0.091972395,0.44,confident
strict three way,female_infanticide Yes minus No,No,-0.174553982,0.1,not
